INSIGHTS	Post Match	1	Argentina have progressed from five of their last six round of 16 matches at the World Cup, the only exception during this run coming in 2018 against eventual champions France.	2	The round of 16 remains the furthest stage that Australia have ever reached at the World Cup, also eliminated at this point of the competition in 2006 against Italy, who went on to lift the trophy.	3	Australia have lost each of their last four World Cup matches against South American sides, each time against a different team – Brazil (2006), Chile (2014), Peru (2018) and Argentina (2022).
COMMENTARY	Post Match	A goal in each half for Argentina prevented a late Australia surge from coming to fruition, sealing a 2-1 nervy but deserved victory. Despite few chances for either side in the first half, Messi capped his 1,000th game for club and country with his first World Cup knockout goal, finishing in clinical fashion following a free-kick that wasn’t adequately cleared. Alvarez’s strike three minutes before the hour looked to wrap up the result, but a late Goodwin strike - deemed an own goal thanks to Fernandez’s deflection - made it anything but easy in the end. Scaloni’s side would ultimately see out the remainder of the game without adding to their lead despite promising opportunities in injury time, but hung on to book their fourth quarter-final trip in the last five World Cups.
COMMENTARY	90+7'	AUSTRALIA ALMOST EQUALISE! A cross to the far post is controlled inside the penalty area with a lovely touch by Kuol, who immediately finds himself in enough space to turn. The substitute fires a low shot that Emiliano Martinez saves superbly, to the relief of all Argentina!
COMMENTARY	82'	WHAT A CHANCE! A simple one-two in midfield gets Behich in a bit of space, which he uses to gather pace on a charge towards goal. The full-back gets all the way into the penalty area and takes a touch before seeing his sliding shot blocked behind by a sliding Lisandro Martinez.
SUBSTITUTION	80'	IN	Gonzalo Montiel	Argentina · Defender #4	OUT	Alexis Mac Allister	Argentina · Midfielder #20
SUBSTITUTION	80'	IN	Exequiel Palacios	Argentina · Midfielder #14	OUT	Nahuel Molina	Argentina · Defender #26	Montiel is introduced at wing-back, as Molina makes way.
INSIGHTS	77'	Alvarez is the sixth player to score in each of his first two World Cup starts for Argentina, and the first since Hernan Crespo in 2006
OWN GOAL!	77'	Argentina	2	-	1	Australia	Enzo Fernández	Argentina · Midfielder #24	Own Goal	AUSTRALIA GET ONE BACK! 2-1! GAME ON! It’s a goal out of absolutely nowhere, with Goodwin’s effort from 25 yards out following a repelled cross taking a touch off Fernandez’s face and wrong-footing the goalkeeper! It goes down as an own goal for the Benfica midfielder, giving the Socceroos a chance with 13 minutes left!
SUBSTITUTION	72'	IN	Fran Karačić	Australia · Defender #5	OUT	Miloš Degenek	Australia · Defender #2	The booked Degenek will not see out the 90 minutes, with Karacic his replacement.
SUBSTITUTION	72'	IN	Jamie Maclaren	Australia · Striker #9	OUT	Mitchell Duke	Australia · Striker #15	Duke's match has come to an end with 18 minutes remaining. Maclaren is tasked with providing the Australia attack a spark.
SUBSTITUTION	72'	IN	Garang Kuol	Australia · Striker #21	OUT	Mathew Leckie	Australia · Midfielder #7
SUBSTITUTION	72'	IN	Nicolás Tagliafico	Argentina · Defender #3	OUT	Marcos Acuña	Argentina · Defender #8	Scaloni also changes his wing-back, with Acuna making way for Tagliafico.
SUBSTITUTION	71'	IN	Lautaro Martínez	Argentina · Striker #22	OUT	Julián Álvarez	Argentina · Striker #9	Alvarez is brought off 14 minutes after scoring Argentina's second goal. Inter's Lautaro Martinez is on in his place.
