INSIGHTS	Post Match	1	Argentina have won the World Cup for a third time (also 1978 and 1986), 36 years since their last triumph in 1986. Only Italy (44 years from 1938 to 1982) have ever had a longer gap between winning two World Cups.	2	Each of the last three reigning champions to reach the World Cup final failed to win that final, with France joining Argentina in 1990 and Brazil in 1998 in doing so.	3	Argentina have won more penalty shootouts than any nation in World Cup history, with this their sixth such triumph. They are the third nation to win a World Cup final shootout, after Brazil in 1994 and Italy in 2006.
COMMENTARY	Post Match	ARGENTINA WIN THE WORLD CUP! It took penalties after an electric 3-3 draw, but Argentina win 4-2 in the shootout! Messi and Di Maria scored the first-half goals for Argentina before Mbappe's late brace took it to extra time. Messi thought he'd won it, but Mbappe penned them back again, getting his hat-trick from the spot. In the shootout, Martinez made a huge save before Tchouameni missed. Argentina scored all of theirs, with Montiel scoring the winner.
YELLOW CARD	Penalty Shootout	Emiliano Martínez	Argentina · Goalkeeper #23
PENALTY SHOOTOUT	Argentina wins!!!	4	-	2	Argentina France	Gonzalo Montiel	Goal (4 - 2)	Randal Kolo Muani	Goal (3 - 2)	Leandro Paredes	Goal (3 - 1)	Aurélien Tchouaméni	Miss (2 - 1)	Paulo Dybala	Goal (2 - 1)	Kingsley Coman	Miss (1 - 1)	Lionel Messi	Goal (1 - 1)	Kylian Mbappé	Goal (0 - 1)	France first to kick
COMMENTARY	120+4'	GREAT CHANCE! Argentina go straight down the other end following Kolo Muani's effort and Montiel gets away down the right. He lifts a good cross in, but Lautaro Martinez can only nod his shot wide of the post.
COMMENTARY	120+3'	WHAT A SAVE! France break quickly on the counter again and Kolo Muani finds himself one-on-one with Emiliano Martinez after Otamendi failed to cut out the throughball. The keeper rushes out and spreads himself to smother the shot in an incredible save.
SUBSTITUTION	120+1'	IN	Paulo Dybala	Argentina · Striker #21	OUT	Nicolás Tagliafico	Argentina · Defender #3	And for Argentina, it's Dybala that's brought on in place of Tagliafico.
SUBSTITUTION	120+1'	IN	Axel Disasi	France · Defender #3	OUT	Jules Koundé	France · Defender #5	Both sides are making one last change as we head into three added minutes here. France go first with Disasi coming on in place of Kounde.
INSIGHTS	120'	Argentina v France is the third World Cup final to go to penalties after Italy v France in 2006 and Brazil v Italy in 1994.
COMMENTARY	120'	SO CLOSE! France break quickly on the counter again through Mbappe down the left and it's a brilliant cross in from him. Kolo Muani can't make contact and it bounces towards the far post, but just flies wide.
INSIGHTS	118'	Kylian Mbappe has scored the most goals in World Cup finals, netting four goals in finals.
INSIGHTS	118'	Kylian Mbappe is the second player to score a World Cup final hat-trick after Geoff Hurst for England v Germany in 1966.
GOOOAAALLL!!!	118'	Argentina	3	-	3	France	Kylian Mbappé	France · Midfielder #10	Penalty Goal	MBAPPE SCORES! He's equalised again and scored a World Cup final hat-trick! He keeps his eyes on Emiliano Martinez the whole time, and he catches the keeper out. He goes the opposite way to his last spot-kick and fires it into the back of the net. 3-3!
COMMENTARY	116'	PENALTY TO FRANCE! Montiel was turning his back to try and block Mbappe's shot and his arm was away from his body when the ball hit it. The referee has a great view of it, and points straight to the spot again.
