INSIGHTS	Post Match	1	Brazil are unbeaten in their opening game in each of the last 20 editions of the World Cup (W17 D3), since losing 3-1 against Spain in 1934.	2	As an independent nation, Serbia have lost eight of their 10 matches at the World Cup, the highest loss percentage of any side to have played at least 10 games (80%).	3	Brazil's Neymar was fouled nine times in this match, at least four more fouls won than any other player at the 2022 World Cup so far.
COMMENTARY	Post Match	After several chances that were not taken in the first 45 minutes, Brazil came out after half-time and continued to put Serbia on the backfoot. The opener came in the 62nd minute, Richarlison taking advantage of the ball Vanja Milinkovic-Savic parried into his path, smashing it into the back of the net. Richarlison also scored Brazil's second, an impressive acrobatic volley in the 73rd minute to secure the win. Serbia were relatively toothless going forward, and were unable to test Brazil's backline.
COMMENTARY	87'	Antony with some fantastic feet lays it off to Rodrygo, but his curling effort just misses the top corner of the net.
SUBSTITUTION	87'	IN	Gabriel Martinelli	Brazil · Striker #26	OUT	Raphinha	Brazil · Midfielder #11	Martinelli comes on for Raphinha for the final minutes.
INSIGHTS	80+5'	Vinícius Júnior's assist for Richarlison's second goal was his first for Brazil in all competitions (17 caps)
SUBSTITUTION	83'	IN	Nemanja Maksimović	Serbia · Midfielder #6	OUT	Aleksandar Mitrović	Serbia · Striker #9	Mitrovic comes off for Maksimovic. A quiet game for the striker, but his team rarely could get the ball up the pitch. Not much he could do.
COMMENTARY	81'	Brazil hit the post again! Casemiro curls one from far out, but it clatters against the crossbar.
SUBSTITUTION	80'	IN	Antony	Brazil · Striker #19	OUT	Neymar	Brazil · Midfielder #10	Neymar's match is also over, as he is replaced by Antony.
SUBSTITUTION	79'	IN	Gabriel Jesus	Brazil · Striker #18	OUT	Richarlison	Brazil · Striker #9	The goalscorer, Richarlison, comes off to loads of cheers, and is replaced by Jesus.
SUBSTITUTION	76'	IN	Rodrygo	Brazil · Striker #21	OUT	Vini Jr.	Brazil · Midfielder #20
SUBSTITUTION	75'	IN	Fred	Brazil · Midfielder #8	OUT	Lucas Paquetá	Brazil · Midfielder #7	Fred comes on for Paqueta as Brazil now focus on defending this lead.
INSIGHTS	73'	Richarlison is the first Brazilian player to score twice on his WC debut after Neymar in 2014
GOOOAAALLL!!!	73'	Brazil	2	-	0	Serbia	Richarlison	Brazil · Striker #9	Asst: V. Júnior	GOOOOOOAAAAAAAAALLLLLLLLLLLLL!!!!! BRAZIL 2-0 SERBIA! IT'S A BRACE FOR RICHARLISON! And what a goal it is! The ball comes into the box for the striker, and he takes one touch to bring the ball up, before scoring a fantastic bicycle kick volley! What a goal!!!!
SUBSTITUTION	66'	IN	Dušan Vlahović	Serbia · Striker #18	OUT	Filip Mladenović	Serbia · Midfielder #25
SUBSTITUTION	66'	IN	Darko Lazović	Serbia · Midfielder #22	OUT	Saša Lukić	Serbia · Midfielder #16	Serbia look to get back in this as Lukic comes off for Lazovic.
YELLOW CARD	64'	Saša Lukić	Serbia · Midfielder #16	Lukic gets a yellow for dissent.
INSIGHTS	62'	Serbia have never won a world cup match when conceding first, losing all five previous matches
