INSIGHTS	Post Match	1	Germany have been eliminated from the group stages at consecutive World Cups (also 2018), after they had progressed from the first round group stage in each of their 16 previous such appearances at the tournament.	2	Germany have failed to keep a clean sheet in their last 12 matches at major tournaments (World Cups + Euros), further extending their longest such streak.	3	Costa Rica have scored more World Cup goals against Germany (4) than they have versus any other side, surpassing the three they’d scored against Uruguay in 2014. At the other end, against no side have they shipped more goals at the World Cup than they have versus Germany (8 – level with Brazil).
COMMENTARY	Post Match	Germany are out of the World Cup despite coming from behind to beat Costa Rica thanks to a brace from substitute Havertz. Ahead early on through a Gnabry header, Costa Rica turned the score in their favour in the second half. First, it was Tejeda who slammed the ball into the bottom corner, getting on the end of a rebound after Neuer fumbled Waston’s header. Suarez’s side briefly moved above Spain and into second when Vargas' flick was directed into the net by Neuer, before Havertz hit back with a quick response. Germany were behind for just three minutes, with the Chelsea man directing Fullkrug’s pass beyond Navas before slamming Gnabry’s inviting cross past the Costa Rican goalkeeper. With an assist to his name, Fullkrug then scored Germany’s fourth to confirm the victory, striking the ball in from close range after Sane laid it into his path. It was first disallowed for offside before VAR intervened to give the goal.
SUBSTITUTION	90+3'	IN	Matthias Ginter	Germany · Defender #4	OUT	Niklas Süle	Germany · Defender #15
SUBSTITUTION	90+3'	IN	Roan Wilson	Costa Rica · Striker #24	OUT	Yeltsin Tejeda	Costa Rica · Midfielder #17
SUBSTITUTION	90+3'	IN	Anthony Contreras	Costa Rica · Striker #7	OUT	Bryan Oviedo	Costa Rica · Defender #8
GOAL	90'	Goal for Germany! After a VAR review, a goal is awarded.
INSIGHTS	89'	Kai Havertz is the second German to score a brace as a sub at the World Cup after Schürrle in 2014 vs Brazil.
COMMENTARY	89'	OFFSIDE! BUT THERE WILL BE A VAR CHECK! Fullkrug puts the ball in the net, but the flag goes up. Kimmich's deep cross is met by Sane, who pulls it across the box to the striker who has a simple finish. However, it will not count. There is a VAR check ongoing.
GOOOAAALLL!!!	89'	Costa Rica	2	-	4	Germany	Niclas Füllkrug	Germany · Striker #9	Asst: L. Sané	GOAALLLL! FULLKRUG SCORES! 4-2 GERMANY! Germany score again, but they are still out as things stand. After a VAR check, Fullkrug is deemed to be onside after latching onto Sane's pass. With the goal open, the striker puts it into an open net to score his second of the competition after doing so against Spain.
GOOOAAALLL!!!	85'	Costa Rica	2	-	3	Germany	Kai Havertz	Germany · Midfielder #7	Asst: S. Gnabry	GOAAALLLLLL! HAVERTZ SCORES AGAIN! 3-2 GERMANY! Gnabry curls an inviting cross from the right towards the back of the box. Arriving late, Havertz rushes onto the cross and slams it into the bottom corner past Navas. If Spain find an equaliser, Germany will be through as things stand.
COMMENTARY	76'	WHAT A SAVE! Germany should be in the lead. Fullkrug gets on the end of a cross, with his powerful strike from close range pushed over by Navas.
YELLOW CARD	76'	Óscar Duarte	Costa Rica · Defender #6	Duarte receives a yellow card for a tactical foul.
SUBSTITUTION	74'	IN	Jewison Bennette	Costa Rica · Striker #9	OUT	Keysher Fuller	Costa Rica · Defender #4
SUBSTITUTION	74'	IN	Ronald Matarrita	Costa Rica · Defender #22	OUT	Johan Venegas	Costa Rica · Striker #11
INSIGHTS	73'	Kai Havertz has scored more goals in 2022 than any other Germany player (4).
INSIGHTS	73'	Kai Havertz scored his first World Cup goal for Germany from his first shot on target
GOOOAAALLL!!!	73'	Costa Rica	2	-	2	Germany	Kai Havertz	Germany · Midfielder #7	Asst: N. Füllkrug	GOAALLLL! GERMANY SCORE! 2-2! Havertz comes on and makes an impact. He is one-on-one with Navas inside the box with the ball flicked into his path by Fullkrug. He keeps his composure, dinking it over Navas.
GOOOAAALLL!!!	70'	Costa Rica	2	-	1	Germany	Juan Pablo Vargas	Costa Rica · Defender #3	GOAAALLLLLL! 2-1 COSTA RICA! All the substitutes are on the pitch for what could be one of the most historic goals in Costa Rica’s history! With the ball knocked in the air, Vargas gets a touch on it, flicking the ball against Neuer who directs it into his own net.
COMMENTARY	68'	POST! It may not be Germany's day. Musiala cuts inside from the right, curling the ball towards the goal. Havertz ducks under his effort, with the ball smashing against the same post for the third time.
INSIGHTS	67'	Costa Rica have had four shots on target in this match, after registering one across their first two World Cup 2022 games (1)
SUBSTITUTION	67'	IN	Mario Götze	Germany · Midfielder #11	OUT	David Raum	Germany · Defender #3
SUBSTITUTION	66'	IN	Kai Havertz	Germany · Midfielder #7	OUT	Thomas Müller	Germany · Striker #13
INSIGHTS	62'	Germany have hit the woodwork three times, more than in any other World Cup match they've played in since 1966
COMMENTARY	62'	POST AGAIN! Rudiger misses the target this time. Sliding in, he meets Kimmich's low cross but crashes the outside of the post.
COMMENTARY	61'	POST! Germany hit the post. Musiala bursts down the left, smashing the shot across the goal, ignoring Fullkrug in the middle of the post. Musiala hits the post and cannot turn the rebound into the net with the ball going over.
INSIGHTS	59'	Costa Rica's Yeltsin Tejeda scored his first WC goal in his 9th app in the competition
INSIGHTS	58'	Vargas goal was Costa Rica's fourth World Cup goal against Germany, more than they have scored against any other country (surpassing the three they scored against Uruguay in 2014)
INSIGHTS	58'	Vargas goal was Costa Rica's fourth World Cup goal against Germany, more than they have scored against any other country
INSIGHTS	58'	Costa Rica have scored three goals vs Germany in the World Cup, their joint-most vs a side (also Uruguay)
GOOOAAALLL!!!	58'	Costa Rica	1	-	1	Germany	Yeltsin Tejeda	Costa Rica · Midfielder #17	GOAALL! COSTA RICA SCORE! 1-1! It’s gone from bad to worse for Germany. Waston races into the middle of the box, heading the ball straight at Neuer. The goalkeeper cannot keep it in his hands, with Tejeda rushing to the rebound and smashing it into the bottom corner.
SUBSTITUTION	55'	IN	Niclas Füllkrug	Germany · Striker #9	OUT	İlkay Gündoğan	Germany · Midfielder #21	Attacking substitution for Germany. Gundogan is replaced by Fullkrug.
SUBSTITUTION	46'	IN	Youstin Salas	Costa Rica · Midfielder #14	OUT	Brandon Aguilera	Costa Rica · Midfielder #20
SUBSTITUTION	46'	IN	Lukas Klostermann	Germany · Defender #16	OUT	Leon Goretzka	Germany · Midfielder #8	Substitution for Germany. Goretzka is replaced by right-back Klostermann, meaning Kimmich will move into the midfield.
COMMENTARY	Half-time	Gnabry scored the only goal in the first half as a dominant Germany lead against Costa Rica. Up against a resilient defence, Germany should have taken the lead through Muller, who ran free in the box before heading the ball wide. Instead, it was Gnabry who broke the deadlock. Musiala, who has been heavily involved in every attack, slid a pass down the left to Raum who went hurtling forward. The left-back then delivered a perfect cross, finding Gnabry who headered it past Navas. With just 29.9 per cent of possession, Costa Rica almost found an unlikely equaliser with their only shot of the opening 45 minutes. The hero against Japan, Fuller dispossessed Rudiger before seeing a powerful effort pushed over by Neuer.
INSIGHTS	45'	Costa Rica have had the fewest shots on target at World Cup 2022, Keysher Fuller's in the first half was just their second.
