INSIGHTS	Post Match	1	Belgium have failed to progress to the knockout stages of a World Cup tournament for the first time since 1998.	2	After failing to reach the knockout stages in three consecutive participations (2002, 2006, 2014), Croatia have now progressed from their group at consecutive editions (2018, 2022).	3	Belgium scored one goal at this World Cup – in 19 previous participations at major tournaments (World Cup + Euros), they have only scored fewer goals once (1930 World Cup – 0).
COMMENTARY	Post Match	Croatia advance to the World Cup round of 16 at the expense of Belgium after playing out a goalless draw in their Group F clash. Neither team could force a breakthough, but Romelu Lukaku missed four great openings that could have saved the Red Devils from a premature exit from the competition. Lukaku struck the post and missed from close range on a frustrating night for the forward after he was introduced at half-time. Croatia held firm at the back to secure the goalless draw to advance in second place ahead of Belgium, while Morocco finish top of Group F as a result of their win over Canada.
INSIGHTS	90+4'	Belgium have had 16 shots against Croatia, their most without scoring in a group stage match at the World Cup since 1994 (25 against Saudi Arabia)
SUBSTITUTION	90+2'	IN	Lovro Majer	Croatia · Midfielder #7	OUT	Mateo Kovačić	Croatia · Midfielder #8	Majer replaces Kovacic for Croatia for the dying minutes.
COMMENTARY	90'	SAVED ON THE LINE! Lukaku is having a nightmare in front of goal. Thorgan Hazard clips a cross into the middle that Lovren fails to clear. Lukaku should anticipate the mistake, but he allows the ball to strike his chest. The forward can only watch it trickle into the hands of Livakovic on the line.
COMMENTARY	87'	INCHES WIDE! Lukaku misses the target again! Meunier latches on to a loose ball in the Croatia box and steers it towards goal. It travels towards Lukaku, who sticks out a boot, but sends his effort just past the right post.
SUBSTITUTION	87'	IN	Eden Hazard	Belgium · Striker #10	OUT	Thomas Meunier	Belgium · Defender #15	Meunier is withdrawn as Eden Hazard enters the action for the dying stages.
INSIGHTS	75+4'	Belgium have had more attempts (6) in the first 17 minutes of the second half than in the whole of the first 45 minutes (5).
SUBSTITUTION	72'	IN	Youri Tielemans	Belgium · Midfielder #8	OUT	Leander Dendoncker	Belgium · Midfielder #19	Tielemans slots into the Belgium midfield for Dendoncker.
SUBSTITUTION	72'	IN	Jérémy Doku	Belgium · Striker #25	OUT	Yannick Carrasco	Belgium · Midfielder #11	Doku replaces Carrasco in the final third for the Red Devils.
YELLOW CARD	66'	Leander Dendoncker	Belgium · Midfielder #19	Dendoncker catches Kovacic with a lunge and goes into the book.
SUBSTITUTION	64'	IN	Mario Pašalić	Croatia · Midfielder #15	OUT	Andrej Kramarić	Croatia · Striker #9	Kramaric makes way in the final third for Pasalic.
SUBSTITUTION	64'	IN	Bruno Petković	Croatia · Striker #16	OUT	Marko Livaja	Croatia · Striker #14	Livaja has put in a good shift today and is now withdrawn for Petkovic.
COMMENTARY	62'	LUKAKU MISSES AGAIN! The forward places a free header over the bar. De Bruyne latches on to ball down the left flank and keeps it alive with a cross into the middle. Lovren takes it away from Livakovic with a glancing header that travels straight onto the head of Lukaku, but he plants his header over the bar. A shocking miss, although replays show that the ball may have been out before De Bruyne put his delivery into the box.
INSIGHTS	60'	There's already been four shots on target (7 shots in total) in the first 9 minutes of the second half, after none on target in the first 45 minutes.
