INSIGHTS	Post Match	1	Croatia have reached at least the last four of the World Cup on all three occasions that they have made it out of the group stages (1998, 2018 and 2022).	2	Brazil have been eliminated from four of their last five World Cup quarter-finals. In addition, Brazil have been eliminated from each of their last six World Cup knockout stage games against European nations since a 2-0 victory over Germany in the 2002 final.	3	Neymar's opening goal means that he has equaled Pelé’s record as Brazil’s all-time top scorer (77). Furthermore, Neymar has scored three goals in six World Cup appearances against European nations, with all three coming against Croatia (2 in 2014 and today).
COMMENTARY	Post Match	Croatia are through to the World Cup semi-finals for the second tournament in a row courtesy of a 4-2 victory over Brazil on penalties after their quarter-final clash finished 1-1. Neymar looked to have put the Selecao on the path to the last four with a brilliant goal to break the deadlock in stoppage time in the first half of extra time. However, Bruno Petkovic equalised with a deflected effort to keep Croatia alive in the second half of extra time. Dominik Livakovic then performed his magic again to deny Rodrygo Silva from the penalty spot, while Zlatko Dalic's men were perfect piling the pressure on Marquinhos to score. The defender struck the post with a vital kick, sending Croatia through and Brazil home yet again at the quarter-final stage.
INSIGHTS	Penalty Shootout	Croatia have won all three of their previous World Cup penalty shootouts, while Brazil have won 3/4 of theirs, failing only v France in 1986.
PENALTY SHOOTOUT	Croatia wins!!!	4	-	2	Croatia Brazil	Mislav Oršić	Goal (4 - 2)	Marquinhos	Miss (4 - 2)	Luka Modrić	Goal (3 - 1)	Pedro	Goal (3 - 2)	Lovro Majer	Goal (2 - 0)	Casemiro	Goal (2 - 1)	Nikola Vlašić	Goal (1 - 0)	Rodrygo	Miss (1 - 0)	Croatia first to kick
COMMENTARY	120+2'	SAVE! Livakovic keeps Croatia alive with a reaction save. Casemiro latches on to a knockdown from Neymar's cross and fires at goal on his left foot, but the Croatia keeper beats it away.
INSIGHTS	120'	Bruno Petkovic's goal was Croatia's latest ever strike in a World Cup match (117th minute).
INSIGHTS	116+1'	Croatia are the first side on record in the World Cup (since 1966) to score with their first shot on target (excl. own goals) when that shot came in extra-time.
YELLOW CARD	117'	Bruno Petković	Croatia · Striker #16	Petkovic takes his shirt off in celebration and goes into the book.
GOOOAAALLL!!!	117'	Croatia	1	-	1	Brazil	Bruno Petković	Croatia · Striker #16	Asst: M. Oršić	GOALLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL!!!!!!! PETKOVIC LEVELS!!!!!!! 1-1!!!! Croatia keep their World Cup alive with a late goal courtesy of Petkovic as his left-footed strike takes a deflection and beats Alisson. Orsic collects down the left flank and drives into the inside-left channel. He picks out Petkovic in the middle, who sweeps a left-footed strike towards goal. It deflects off Marquinhos which takes it away from Alisson and into the bottom-left corner. What a huge moment for Croatia.
SUBSTITUTION	114'	IN	Mislav Oršić	Croatia · Striker #18	OUT	Marcelo Brozović	Croatia · Midfielder #11	Brozovic is withdrawn for the closing stages and is replaced by Orsic.
SUBSTITUTION	110'	IN	Ante Budimir	Croatia · Striker #17	OUT	Borna Sosa	Croatia · Defender #19	Budimir replaces Sosa. Croatia add another forward into the action.
INSIGHTS	105+1'	Neymar has scored Brazil's first extra-time goal in a World Cup match since 1938 v Poland, when Leônidas scored twice.
INSIGHTS	105+1'	Neymar has now scored 77 goals for Brazil, moving level with Pelé as the joint-highest scorer in their history.
