INSIGHTS	Post Match	1	Canada became the first side since Denmark against Brazil in 1998 to lose a match at the World Cup having scored inside two minutes in that game. The last team to lose despite scoring earlier than Canada today was France against Italy in 1978 (29 seconds).	2	Croatia have avoided defeat in four of the last five World Cup games in which they conceded the first goal (W2 D2), with all five games coming since the start of the 2018 edition.	3	Canada have lost all five of their World Cup matches to date – only El Salvador (6) have played more games in the competition while losing on each occasion.
COMMENTARY	Post Match	Canada’s first-ever lead in a World Cup came just 120 seconds into the match but it wasn’t enough to keep their hopes alive as Croatia come back to win 4-1 at the Khalifa International Stadium. Davies gave the Canucks their first-ever goal at a World Cup finals, but the advantage lasted just over a half-hour, before Kramaric pulled Dalic’s men back level with an accurate strike. Livaja’s finish a minute before injury time gave the 2018 finalists a 2-1 lead at the half, more or less confirming the result. To their credit, Canada remained positive and looked for a result until the end but confusion at the back would cost them two more after the interval with Perisic linking up with Kramaric for the second time in the game after 70 minutes, before a late Majer tap-in put the finishing touches on the win. The three points give Dalic’s side a chance to finish the group on top, while Canada are eliminated.
INSIGHTS	90+6'	Ivan Perisic (33y 298d) is the third oldest player to provide two assists in a single World Cup game (since 1966), after Michael Laudrup v Nigeria in 1998 (34y 13d) and László Fazekas v El Salvador in 1982 (34y 243d)
GOOOAAALLL!!!	90+4'	Croatia	4	-	1	Canada	Lovro Majer	Croatia · Midfielder #7	Asst: M. Oršić	CROATIA HAVE A FOURTH! 4-1! Miller’s mistake as the last man back allows two Croatia forwards to storm through, with Orsic picking up possession and bursting into the penalty area before squaring it to Majer for the easy finish!
INSIGHTS	90'	Andrej Kramaric is the second player to score twice in a World Cup match for Croatia after Mario Mandzukic v Cameroon in 2014
SUBSTITUTION	86'	IN	Mario Pašalić	Croatia · Midfielder #15	OUT	Luka Modrić	Croatia · Midfielder #10	Atalanta's Pasalic is sent on to replace Modric, who gets an extra bit of rest.
SUBSTITUTION	86'	IN	Lovro Majer	Croatia · Midfielder #7	OUT	Mateo Kovačić	Croatia · Midfielder #8	Kovacic is also withdrawn, as Majer's number is held up on the board.
SUBSTITUTION	86'	IN	Mislav Oršić	Croatia · Striker #18	OUT	Ivan Perišić	Croatia · Striker #4	Perisic makes way with two assists to his name, giving Orsic a chance to see out the remainder of the game.
YELLOW CARD	85'	Luka Modrić	Croatia · Midfielder #10	Modric takes Miller down from behind just inside Canada’s half, which earns the Real Madrid midfielder a yellow card.
YELLOW CARD	85'	Kamal Miller	Canada · Defender #4	Miller takes exception to the tackle and engages in a bit of shoving with his opponent, which also brings a yellow card out of the referee’s pocket.
INSIGHTS	80'	Croatia (against Canada) are the second team to be winning at half time having conceded the first goal in a game at World Cup 2022 (after France v Australia) - something that never happened once in any of the previous five World Cup tournaments combined
SUBSTITUTION	73'	IN	Nikola Vlašić	Croatia · Midfielder #13	OUT	Andrej Kramarić	Croatia · Striker #9	Kramaric won't get another opporunity to seal the hat-trick as he's brought off for Vlasic with under 20 minutes remaining.
SUBSTITUTION	73'	IN	Sam Adekugbe	Canada · Defender #3	OUT	Atiba Hutchinson	Canada · Midfielder #13	Hutchinson comes off for Adekugbe, with Canada looking to get back in the game.
SUBSTITUTION	72'	IN	Lucas Cavallini	Canada · Striker #9	OUT	Jonathan David	Canada · Striker #20	A change at striker sees Cavallini sent on for David.
GOOOAAALLL!!!	70'	Croatia	3	-	1	Canada	Andrej Kramarić	Croatia · Striker #9	Asst: I. Perišić	KRAMARIC NETS HIS SECOND! 3-1 CROATIA! Perisic again pulls the strings from the left edge of the penalty area, teasing a beautiful cross to the far post for Kramaric. The forward takes a touch to bring himself closer to goal before firing a low shot into the bottom corner!
SUBSTITUTION	62'	IN	Junior Hoilett	Canada · Striker #10	OUT	Richie Laryea	Canada · Defender #22	A change on the wing for Canada sees Hoilett on for Laryea.
SUBSTITUTION	60'	IN	Bruno Petković	Croatia · Striker #16	OUT	Marko Livaja	Croatia · Striker #14	Livaja makes way for Petkovic, with the striker going off to a round of applause.
YELLOW CARD	56'	Dejan Lovren	Croatia · Defender #6	Lovren misses David with his first sliding challenge but gets up and makes sure to catch him on the second effort, with the referee watching the whole time. Before Canada's corner he pulls play back and shows the Croatia centre-back a yellow card.
COMMENTARY	54'	EVEN BETTER FROM LIVAKOVIC! Buchanan wriggles free of Gvardiol and lays it back to David, who smashes a high shot that’s tipped over by the fingertips of the diving goalkeeper!
YELLOW CARD	52'	Tajon Buchanan	Canada · Midfielder #11	A frustrated Buchanan cynically takes Gvardiol down from behind, earning a yellow card.
COMMENTARY	48'	WHAT A CHANCE! Osorio comes inches away from pulling Canada back level within two minutes of coming on, sending a curling effort from 20 yards out the wrong side of the post!
SUBSTITUTION	46'	IN	Jonathan Osorio	Canada · Midfielder #21	OUT	Cyle Larin	Canada · Striker #17	Osorio is sent in as well, with Larin making way.
SUBSTITUTION	46'	IN	Ismaël Koné	Canada · Midfielder #15	OUT	Stephen Eustáquio	Canada · Midfielder #7	20-year old Kone comes on for Eustaquio at the interval.
COMMENTARY	Half-time	An entertaining and unpredictable first half at the Khalifa International Stadium comes to a close with Croatia ahead of Canada by two goals to one, overcoming an early deficit to lead after 45 minutes. It was a perfect start for Herdman’s side, who dealt with much frustration against Belgium to score just 120 seconds into the game, after Buchanan’s cross was met by the rising Davies. The Canucks lost their discipline as time wore on though, allowing Modric and Kovacic to link up with speed to exploit the spaces ahead of the penalty area, much to Kramaric and Livaja’s delight.
INSIGHTS	44'	Marko Livaja has scored two goals in his last three appearances for Croatia, as many as he’d scored in his first 13 games for his country.
GOOOAAALLL!!!	44'	Croatia	2	-	1	Canada	Marko Livaja	Croatia · Striker #14	Asst: J. Juranović	CROATIA TAKE THE LEAD! 2-1! A lovely incisive run by Juranovic gets Croatia up the pitch near Canada’s penalty area, where Miller puts in a sliding challenge. The ball bobbles and comes back to the attacking full-back, who splits the legs of the defender with a pass to Livaja. From there, the striker takes a touch to set himself before beating Borjan coolly!
INSIGHTS	40'	Andrej Kramaric has scored his second World Cup goal, also scoring vs Russia in 2018.
INSIGHTS	36'	Alphonso Davies has scored his 13th international goal for Canada but today’s goal was the first to be scored with his head.
GOOOAAALLL!!!	36'	Croatia	1	-	1	Canada	Andrej Kramarić	Croatia · Striker #9	Asst: I. Perišić	CROATIA PULL LEVEL! 1-1! A quick bit of passing from Dalic’s side opens up a pocket of space for Perisic on the left corner of the penalty area. He plays a smart disguised pass into the box for Kramaric, who dispatches his finish with confidence!
COMMENTARY	35'	GREAT SAVE! Kovacic threads a lovely pass into Livaja, who gets a half-step on Miller before firing a shot that’s turned behind expertly by Borjan!
COMMENTARY	26'	CROATIA SCORE BUT IT WON’T COUNT! Kramaric gets into the penalty area and beats both Laryea and Miller before slotting a shot high into the roof of the goal from an acute angle, but Livaja’s inability to stay onside in the build-up means it remains 1-0 to the Canucks.
INSIGHTS	8'	Correction: Alphonso Davies’ strike after 1:08 was the quickest goal scored at the World Cup since Zanka (Denmark) vs Croatia in 2018 (57 secs).
INSIGHTS	4'	Ivan Perišić has been directly involved in more goals than any other player for Croatia in major tournament history (15 - 9 goals + 6 assists in World Cup + Euro).
GOOOAAALLL!!!	2'	Croatia	0	-	1	Canada	Alphonso Davies	Canada · Midfielder #19	Asst: T. Buchanan	CANADA’S FIRST GOAL AT THE WORLD CUP! WHO ELSE BUT DAVIES? 1-0! Buchanan whips a lovely cross into the penalty area between Lovren and Juranovic, with Davies storming in to meet it. The wing-back rises highest and powers a header past Livakovic to give his side the lead within 120 seconds!
INSIGHTS	1'	Alphonso Davies has scored Canada’s first ever goal at the World Cup in what is their fifth match.
