INSIGHTS	Post Match	1	The third place play-off at the World Cup has been won by a European team in each of the last 11 editions, with Brazil in 1978 being the last non-European side to win this match (2-1 v Italy).	2	Croatia have only lost two of their 14 total matches across the last two World Cup tournaments (W6 D6): versus France in the 2018 final (2-4) and Argentina in this year’s semi-final (0-3).	3	Morocco’s two defeats at the 2022 World Cup came in the matches where they had their two highest possession figures of the tournament (61% v France and 49% v Croatia). Prior to these two matches, Morocco had averaged just 31% possession and gone unbeaten in five games (W3 D2).
COMMENTARY	Post Match	Croatia finish third in the World Cup after a 2-1 win over Morocco! It took Croatia just seven minutes to break the deadlock as Gvardiol scored a brilliant diving header, but they were pegged back less than two minutes later when Dari nodded in from close range. Orsic restored their lead not long before half-time with a lovely effort that curled in off the far post. Morocco had two big chances in the second half to try and take it to extra time, but Livakovic made himself big to deny En-Nesyri before the forward thumped a header over in the final seconds.
COMMENTARY	90+6'	WHAT A CHANCE! Attiat-Allah whips in a brilliant cross from the left and En-Nesyri rises above Perisic in the middle to thump a header on goal. There's not enough dip on it though, and it lands on the roof of the net.
SUBSTITUTION	90+5'	IN	Kristijan Jakić	Croatia · Midfielder #26	OUT	Mislav Oršić	Croatia · Midfielder #18	One last change from Croatia as they look to run the clock down. Orsic, who scored the match-winner as it stands, goes off to be replaced by Jakic.
INSIGHTS	88'	Morocco defender Achraf Hakimi has made 27 tackles at the 2022 World Cup; the most by a player in an edition of the tournament since Javier Mascherano in 2014 (30).
COMMENTARY	87'	GREAT CHANCE! Stanisic touches it into Kovacic, who gets it out of his feet before nudging his way in front of Amrabat. He drags at his shot, sending it across the face of goal and wide of the far post.
YELLOW CARD	84'	Selim Amallah	Morocco · Midfielder #15	Petkovic is down and wins a free-kick, with Amallah unhappy that it went against him. He leads the protests to the referee and talks himself into a booking.
COMMENTARY	75'	WHAT A SAVE! The game has truly opened up in the last few minutes and Gvardiol's flicked clearance falls to En-Nesyri at the far post. He lets the ball bounce before hitting the half-volley, but Livakovic spreads himself to smother it.
COMMENTARY	74'	NO PENALTY! Gvardiol makes a brilliant run through the middle and he's one-on-one with the goalkeeper. He's setting himself for a shot when Amrabat kicks his back foot and brings him down, but the referee waves play on, and VAR agrees.
YELLOW CARD	69'	Azzedine Ounahi	Morocco · Midfielder #8	Ounahi is shown the first yellow card of the game for dissent after protesting a free-kick.
SUBSTITUTION	67'	IN	Selim Amallah	Morocco · Midfielder #15	OUT	Jawad El Yamiq	Morocco · Defender #18	Morocco's final change is an enforced one as they have another injury to one of their defenders. El Yamiq has a hamstring problem so Amallah replaces him as Amrabat drops into the back line.
SUBSTITUTION	67'	IN	Mario Pašalić	Croatia · Midfielder #15	OUT	Lovro Majer	Croatia · Midfielder #7	And Pasalic is also on in place of Majer.
INSIGHTS	66'	Croatia's Andrej Kramaric and Morocco's Sofiane Boufal have become the first players to be substituted off as many as seven times at a single World Cup tournament.
SUBSTITUTION	66'	IN	Bruno Petković	Croatia · Striker #16	OUT	Marko Livaja	Croatia · Striker #14	Croatia are making a double change of their own. Livaja is the first to go off, with Petkovic on for him.
SUBSTITUTION	64'	IN	Badr Benoun	Morocco · Defender #24	OUT	Achraf Dari	Morocco · Defender #20	Double change for Morocco now. Dari is the first to make way, with Benoun on for him.
SUBSTITUTION	64'	IN	Anass Zaroury	Morocco · Striker #10	OUT	Sofiane Boufal	Morocco · Striker #17	And Boufal is also taken off, with Zaroury replacing him.
SUBSTITUTION	61'	IN	Nikola Vlašić	Croatia · Midfielder #13	OUT	Andrej Kramarić	Croatia · Midfielder #9	Kramaric made his way straight off the field with the medical team, and Vlasic is now ready to come on in his place.
INSIGHTS	60'	Mislav Orsic has had half of Croatia's attempts on goal in this game (5/10).
COMMENTARY	60'	Kramaric made his way back to the centre circle from the corner flag before going down with an injury. Play initially continued, but he receives treatment now and it's not looking good for the forward.
SUBSTITUTION	56'	IN	Azzedine Ounahi	Morocco · Midfielder #8	OUT	Bilal El Khannouss	Morocco · Midfielder #23	Morocco are making their second change now, and it's El Khannouss that's replaced by Ounahi.
COMMENTARY	47'	CLOSE! Orsic cuts inside from the left and the space just opens up for him, so he decides to try his luck for a second goal. It's heading into the near post, until El Yamiq's deflection takes it into the side netting.
SUBSTITUTION	46'	IN	Ilias Chair	Morocco · Midfielder #13	OUT	Abdelhamid Sabiri	Morocco · Midfielder #11	Morocco are making a change at the start of the second half. Sabiri is the one going off, with Chair on in his place.
COMMENTARY	Half-time	Croatia take a 2-1 lead over Morocco into half-time in the third-place play-off. This game couldn't be more different to the cagey affair played out in their first group game, with Gvardiol breaking the deadlock with a diving header just seven minutes in. Less than two minutes later, Morocco were level, with Dari nodding in from close range. Croatia were the more dominant side and restored their lead just before the break, with Orsic curling one in off the inside of the post.
INSIGHTS	45'	HT - Croatia scored as many goals today in the first half as in their previous four World Cup games overall combined (2).
