INSIGHTS	Post Match	1	Senegal became the first African nation to beat a South American side at the World Cup since Cameroon v Colombia in 1990, ending a 21-game winless run (D4 L17).	2	Senegal have won successive World Cup games for the very first time. Meanwhile, this tournament is the first time that they have finished a World Cup group stage with six points (5 in 2002 was their previous best total).	3	Ecuador have failed to make it past the group stage of the World Cup in three of their four appearances in the competition, while this was their first defeat in the tournament in five matches (W2 D2).
COMMENTARY	Post Match	Senegal are through to the knockout stages for the first time since 2002 with a 2-1 win over Ecuador. Sarr won a penalty just before the break when Hincapie crashed into him, and he coolly stepped up to slot it home. Ecuador pushed after the break and equalised from a corner when Caicedo tapped in from close range, but just two and a half minutes later, Senegal took the lead again. Idrissa Gueye's free-kick deflected to Koulibaly and the captain volleyed in the winner to send his side through.
SUBSTITUTION	90+5'	IN	Pape Abou Cissé	Senegal · Defender #4	OUT	Boulaye Dia	Senegal · Striker #9	Senegal are bringing on a defender to help them see out this win. Dia is being helped off the field quicker by Caicedo, as Cisse comes on in his place.
INSIGHTS	85'	Ismaïla Sarr has won more fouls than any other player at the 2022 World Cup so far (13), with eight of those coming in today's match alone.
SUBSTITUTION	85'	IN	Jackson Porozo	Ecuador · Defender #25	OUT	Ángelo Preciado	Ecuador · Defender #17	Fourth change for Ecuador now as Preciado is replaced by Porozo.
COMMENTARY	82'	CLOSE! A loose touch from Hincapie bounces kindly for Dieng, and he spins away from Torres before whipping a shot towards the near post. It's always curling away though and it flies wide.
COMMENTARY	77'	SAVE! It's a clever bit of play from Sarmiento as he dribbles past two defenders on the right to clip it into the far post. Preciado nods it into Plata, who gets it out of his feet before drilling it straight at Mendy.
SUBSTITUTION	75'	IN	Bamba Dieng	Senegal · Striker #20	OUT	Iliman Ndiaye	Senegal · Midfielder #13	And Ndiaye also goes off, with Bamba Dieng replacing him.
SUBSTITUTION	74'	IN	Nampalys Mendy	Senegal · Midfielder #6	OUT	Pathé Ciss	Senegal · Midfielder #11	There's a double change for Senegal now. Ciss is the first to make way, with Nampalys Mendy on in his place.
COMMENTARY	72'	Sabaly and Estupinan are both down after a clash of heads and need treatment. They're back on their feet quickly though, and will be able to carry on.
INSIGHTS	70'	There were just 150 seconds separating Moises Caicedo's equaliser and Kalidou Koulibaly's goal to put Senegal back in front.
GOOOAAALLL!!!	70'	Ecuador	1	-	2	Senegal	Kalidou Koulibaly	Senegal · Defender #3	KOULIBALY SCORES! And just like that, Senegal are back in front! Idrissa Gueye steps up to the free-kick he won and swings a wonderful delivery into the box. It bounces off Torres' shoulder and straight to Koulibaly. He's unmarked and fires a wonderful volley straight past Galindez. 2-1 Senegal!
INSIGHTS	68'	Moises Caicedo is the youngest player to score for Ecuador in a World Cup match (21y 027d).
GOOOAAALLL!!!	67'	Ecuador	1	-	1	Senegal	Moisés Caicedo	Ecuador · Midfielder #23	Asst: F. Torres	CAICEDO EQUALISES! It's a huge goal for Ecuador! It's a great delivery from Plata on the corner and Torres rises highest to flick it on in the middle of the crowded box. Caicedo is unmarked at the far post, and is being played onside by the man on the line, and he slots it into the back of the net. 1-1!
YELLOW CARD	66'	Idrissa Gueye	Senegal · Midfielder #5	Idrissa Gueye clumsily crashes into Preciado, and it's a costly challenge as it results in a booking that will see him miss the next game if Senegal get through.
SUBSTITUTION	64'	IN	Djorkaeff Reasco	Ecuador · Striker #24	OUT	Michael Estrada	Ecuador · Striker #11	Estrada has struggled to have any sort of impact on this game, and he's replaced by Reasco.
COMMENTARY	58'	CHANCE! Estupinan is pushing higher upfield and he lifts a great cross onto the penalty spot from the left. Estrada stoops to get his head to it, but can't direct it on target as it bounces wide.
SUBSTITUTION	46'	IN	Jeremy Sarmiento	Ecuador · Striker #16	OUT	Alan Franco	Ecuador · Midfielder #21	There's a double change for Ecuador at the start of the second half as they look to get back into the game. Franco is the first to make way, with Sarmiento on for him.
SUBSTITUTION	46'	IN	Jose Cifuentes	Ecuador · Midfielder #5	OUT	Carlos Gruezo	Ecuador · Midfielder #8	And Gruezo is also taken off, with Cifuentes replacing him.
COMMENTARY	Half-time	Sarr's penalty gives Senegal a 1-0 lead over Ecuador at half-time. It's a deserved lead for the African side, who pushed for a goal from the first whistle. Idrissa Gueye and Ndiaye both sent chances wide before Senegal were awarded a late penalty when Hincapie crashed into Sarr. He stepped up to take the resulting spot-kick and coolly slotted it home.
INSIGHTS	45'	Piero Hincapié (20y 324d) is the youngest player to concede a penalty in a World Cup match since Ghana's Jonathan Mensah against USA in 2010 (19y 348d).
INSIGHTS	44'	Senegal have had four different scorers at the 2022 World Cup; their joint-most in a single edition of the tournament along with 2002 (Papa Bouba Diop, Henri Camara, Khalilou Fadiga and Salif Diao).
GOOOAAALLL!!!	44'	Ecuador	0	-	1	Senegal	Ismaïla Sarr	Senegal · Midfielder #18	Penalty Goal	SARR SCORES! It's cool as you like from the man that won the penalty! He takes a slow run-up to the spot, stuttering it as he stares down the goalkeeper. He coolly slots it into the bottom right corner, leaving Galindez static in the middle of his line. 1-0 Senegal!
COMMENTARY	42'	PENALTY TO SENEGAL! Preciado is beaten by the bounce and Sarr is chasing the ball into the box. He knocks it on with a clever first touch and Hincapie crashes into him with a late challenge. The referee has no doubts as he points straight to the spot.
INSIGHTS	41'	Ecuador forward Michael Estrada is the only player yet to complete a pass in this match, with none his five pass attempts being successful.
COMMENTARY	40'	Sarr stretches to keep hold of the ball and just catches Caicedo's foot in the process. The midfielder stayed down to receive treatment, but he's able to carry on.
INSIGHTS	30'	Ecuador have faced six shots against Senegal in this match, just one fewer than they did in the entirety of their games against Qatar and the Netherlands combined (7).
COMMENTARY	24'	CHANCE! It's great work from Sarr to keep the ball in play after leaving Preciado on the floor, and he cuts inside from the left before having a go. He curls it towards the far top corner, but a deflection helps it wide.
COMMENTARY	20'	It's a heavy tackle from Sarr on Preciado, and the right-back has stayed down. He needs treatment after twisting his knee during the collision, but he'll be carrying on for now.
