INSIGHTS	Post Match	1	France have reached the World Cup semi-final for the seventh time, while this is the first time they've done so in consecutive editions of the tournament since 1982/1986.	2	This is the seventh time England have been eliminated from the quarter-final stages of the World Cup, more than any other side in the history of the competition.	3	This was France manager Didier Deschamps' 13th World Cup win in just his 17th game in charge (D2 L2), with only Felipe Scolari (14) and Helmut Schön (16) winning more in the competition.
COMMENTARY	Post Match	France are through to the semi-finals of the World Cup after a 2-1 win over England. The holders broke the deadlock in the 17th minute through Tchouameni's long-range strike into the bottom corner. England made a bright start to the second half, though, and were awarded a penalty after Saka was tripped, and Kane fired it into the back of the net. Giroud restored France's lead in the 78th minute with a header from close range and the Three Lions had another chance to equalise from the spot, but Kane blazed that one high over the bar.
COMMENTARY	90+11'	CLOSE! Rashford coolly steps up and he whips it over the wall. There isn't enough dip on the shot, though, and it lands on the roof of the net, much to the static Lloris' relief.
SUBSTITUTION	90+8'	IN	Jack Grealish	England · Midfielder #7	OUT	John Stones	England · Defender #5	Stones gingerly makes his way off the pitch, and England are using this opportunity to go for it. They'll switch to three at the back as Grealish replaces him.
COMMENTARY	90+7'	Stones landed awkwardly after an aerial challenge with Giroud, and he's stayed down holding his ankle. The medical team are on to see to him, but it's not looking good for the defender.
INSIGHTS	84+7'	Harry Kane is the first player to both score and miss a pen in a World Cup match (excl. shootouts) since Michal Bilek for Czechoslovakia against USA in 1990.
YELLOW CARD	90'	Harry Maguire	England · Defender #6	Maguire is judged to have led with his elbow during an aerial challenge with Griezmann. He's shown England's first booking at this World Cup.
INSIGHTS	86'	Since 1966, Antoine Griezmann is just the fourth player for France to provide at least two assists in a World Cup game after Jean Tigana, Dominique Rocheteau and Karim Benzema.
SUBSTITUTION	85'	IN	Marcus Rashford	England · Striker #11	OUT	Phil Foden	England · Striker #20	England are making their third change following that penalty miss. It's Foden that's going off for Rashford.
MISSED PENALTY	84'	Harry Kane	England · Striker #9
COMMENTARY	82'	PENALTY TO ENGLAND! VAR have a look at the incident and then ask the referee to go over to see it himself. It's a blatant push by Hernandez with the ball nowhere near him and England have another spot-kick.
YELLOW CARD	82'	Theo Hernández	France · Defender #22	Hernandez is protesting his innocence, but that won't stop him from being shown a yellow card.
COMMENTARY	81'	PENALTY APPEAL! Mount is watching the ball drop over his shoulder and he gets a big shove in the back from Hernandez to stop him from bringing it down. England are asking for another penalty and VAR is looking at this...
PENALTY	81'	Penalty to England! After a VAR review, a penalty is awarded.
SUBSTITUTION	79'	IN	Kingsley Coman	France · Striker #20	OUT	Ousmane Dembélé	France · Midfielder #11	France are making a change of their own as Coman comes on in place of Dembele.
SUBSTITUTION	79'	IN	Raheem Sterling	England · Striker #10	OUT	Bukayo Saka	England · Striker #17	And Saka is also taken off, with Sterling replacing him.
SUBSTITUTION	79'	IN	Mason Mount	England · Midfielder #19	OUT	Jordan Henderson	England · Midfielder #8	There's a double change for England following that France goal. Henderson is the first to make way, with Mount replacing him.
INSIGHTS	78'	Olivier Giroud is the second player aged 36+ to score at least four goals in a single edition of a World Cup after Roger Milla for Cameroon in 1990 (four goals at the age of 38).
GOOOAAALLL!!!	78'	England	1	-	2	France	Olivier Giroud	France · Striker #9	Asst: A. Griezmann	GIROUD SCORES! And France restore their lead! Griezmann's corner is cleared, but it's worked back out to him on the left. It's a brilliant cross and Giroud just gets in front of Maguire to thump a header past Pickford at the near post. 2-1 France!
COMMENTARY	77'	GREAT SAVE! Hernandez curls another good cross in from the left and Dembele cushions it into the middle for Giroud. He opens his foot to volley it down the middle, and Pickford gets two strong hands to it.
COMMENTARY	72'	GREAT CHANCE! Kane keeps it in play for Shaw, who makes a good run down the left before curling in a dangerous low cross. Saka gets there just ahead of Hernandez, but his effort flashes across goal.
COMMENTARY	70'	CLOSE! Henderson whips in a wonderful free-kick from the right and this time, Maguire is picked out. He flicks his header towards the far post, and it nicks the outside of the woodwork on its way past.
COMMENTARY	62'	SAVE! England work it well down the right, and Saka gets the better of Hernandez again. This time, he pulls it back to Kane, who drills a low shot towards the near post, but Lloris holds it.
COMMENTARY	60'	SAVE! Saka drops deep and spins to find the space open up ahead of him. He drives into the box, brushing off Tchouameni, but the shot at the end lets him down as he scuffs it straight at Lloris.
INSIGHTS	55'	No player has scored more penalties in World Cup history than Harry Kane, with tonight his fourth goal from the spot in the competition (exc. shootouts).
COMMENTARY	55'	GOOD SAVE! Kounde goes long and picks out Rabiot, who is in acres of space through the middle. England are caught out and he drills a low shot on goal from range, but Pickford gets down to push it away.
INSIGHTS	54'	Aurélien Tchouaméni is the first player to score and concede a penalty in a single World Cup game since Ivan Perisic did so for Croatia in 2018 final against France.
GOOOAAALLL!!!	54'	England	1	-	1	France	Harry Kane	England · Striker #9	Penalty Goal	KANE SCORES! The referee's whistle goes, but Kane goes back to reposition the ball on the spot and make Lloris wait a bit longer. When he does step up, it's a brilliant spot-kick as he fires it to the left, sending Lloris the wrong way to pull England level. 1-1!
INSIGHTS	53'	Harry Kane has scored his 53rd goal for England, taking him level with Wayne Rooney as the highest scorer for the men's side.
COMMENTARY	52'	PENALTY TO ENGLAND! Saka is starting to get some joy down the right and he plays a clever one-two with Bellingham as he cuts inside. He draws Tchouameni out to him and is clipped. The referee points straight to the spot.
INSIGHTS	47'	Only vs South Africa in 2010 (6) has Hugo Lloris made more saves in a World Cup game than tonight against England (4).
COMMENTARY	47'	GREAT SAVE! Foden's corner is half-cleared at the far post, but Henderson keeps it alive for Shaw to tee up Bellingham. He puts his laces through it on the volley and Lloris stretches to tip it over.
YELLOW CARD	46'	Ousmane Dembélé	France · Midfielder #11	Dembele tracks back and slides in with a poor challenge on Bellingham. The referee initially plays the advantage, but then goes back to book the winger.
INSIGHTS	Half-time	France are yet to lose a World Cup match in which they've gone into half time leading, winning on 24 of the 25 previous occasions (D1).
INSIGHTS	Half-time	England have never won a World Cup match in which they’ve been losing at half-time (D2 L6).
COMMENTARY	Half-time	Tchouameni's goal separates the sides at half-time, with France beating England 1-0. It took 17 minutes for the reigning World champions to find the back of the net, with Tchouameni picking out the bottom corner from range after a quick counter-attack. At the other end, Kane saw one shot smothered by Lloris before a heavily deflected effort had to be tipped wide by the keeper.
YELLOW CARD	43'	Antoine Griezmann	France · Midfielder #7	Griezmann clips the back of Walker's heels to give away a free-kick. He's already gotten away with a couple of fouls here, and he's booked for this one.
COMMENTARY	29'	SAVE! Kane finds himself in a pocket of space just outside the box and decides to try his luck from range. It takes a big deflection on its way to the near post, and Lloris takes no chances by tipping it wide.
COMMENTARY	26'	NO PENALTY! Kane goes to ground in the box after a clumsy challenge by Upamecano. The defender tugged him back before their legs tangled on the line, but after looking at the incident, VAR sticks with the onfield incident.
COMMENTARY	22'	SAVE! Saka plays a reverse pass into Kane, and a lovely turn gets him past Upamecano. Lloris rushes off his line to smother the chance and Henderson chips it to the far post, but Bellingham can't meet it.
INSIGHTS	18'	Aurélien Tchouaméni's goal is the first England have conceded from outside the box in the World Cup since 2014 vs Italy through Claudio Marchisio, while it is France's first goal from outside the box at this tournament.
INSIGHTS	17'	Antoine Griezmann, who assisted Aurélien Tchouaméni's goal, has created 16 chances at the World Cup so far, no player has created more (level with Lionel Messi).
GOOOAAALLL!!!	17'	England	0	-	1	France	Aurélien Tchouaméni	France · Midfielder #8	Asst: A. Griezmann	TCHOUAMENI SCORES! It's a brilliant counter-attack from France! Mbappe rides the challenge from Rice as he switches to the right, and Griezmann pulled it back to Tchouameni. He's a long way out, but he gets it out of his feet and fires through Bellingham's legs and into the bottom-left corner. 1-0 France!
COMMENTARY	11'	SAVE! Shaw sells himself and doesn't get the ball, allowing Dembele to flick it onto Griezmann behind him. He has space to curl it in and picks out Giroud, but his header is straight at Pickford.
INSIGHTS	0'	Hugo Lloris is today earning his 143rd cap for France, overtaking Lilian Thuram as the most capped player for France in their history.
INSIGHTS	0'	Jordan Pickford becomes the seventh goalkeeper to win 50 caps for England and the first since Joe Hart in 2015. The only goalkeeper to keep a clean sheet on his 50th England appearance was Peter Shilton in 1983 against Scotland.
INSIGHTS	0'	Jude Bellingham is the youngest player to start a World Cup quarter-final for England (19 years, 164 days). The previous youngest was Wayne Rooney vs Portugal in 2006 (20 years, 250 days).
INSIGHTS	Pre Match	1	This will be the third World Cup meeting between England and France, with the Three Lions winning both of the previous two, a 2-0 victory in 1966 and 3-1 in 1982, both in the group stage.	2	France have only lost one of their last eight meetings with England across all competitions (W5 D2), a 2-0 defeat in a friendly in November 2015. This is the two nations’ first encounter since June 2017, when Les Bleus won a friendly 3-2.	3	England have been eliminated from six of their last eight World Cup knockout matches against fellow European nations. By contrast, France have progressed from eight of their last 10 World Cup knockout matches against European opposition (includes third-place play-off and final).	4	France will be the first reigning champions to participate in the quarter-final of the World Cup since Brazil in 2006. France have won three games at the 2022 World Cup so far, while that Brazil team from 2006 (4) are the only reigning champions to have won more in a single tournament this century.	5	Gareth Southgate is looking to become the first England manager to guide the nation to two World Cup semi-finals, having reached the final four in 2018. The Three Lions’ only other two semi-final appearances at the finals came under Alf Ramsey in 1966 and Bobby Robson in 1990.
COMMENTARY	Pre Match	Didier Deschamps also names an unchanged team from their win over Switzerland. Lloris becomes the country's most capped player as he makes his 143rd appearance. France have won all nine of the games that Mbappe has started at the World Cup.
COMMENTARY	Pre Match	Gareth Southgate names an unchanged line-up to the one that started against Senegal. Pickford earns his 50th cap, while Kane is just one goal away from equalling the nation's all-time record. Sterling is back on the bench after missing the last game due to personal reasons.
