INSIGHTS	Post Match	1	England have had 12 goalless draws at the World Cup, the most of any nation in the history of the World Cup. Meanwhile, this was the USA's first ever goalless draw at the World Cup.	2	England have never beaten the USA at the World Cup (D2 L1), only facing Brazil (four games) more often in the World Cup without winning.	3	USA kept a clean sheet against a European nation in the World Cup for the first time since they won 1-0 against England in 1950. They had gone 18 such games without one before today.
COMMENTARY	Post Match	England and USA have played out the fifth goalless draw of this World Cup and counting. Neither team deserved to win this, in truth. The Americans worried the English in the first hour before Southgate's men managed to quieten things down. They couldn't break down their well-organised opponents though, and the game soon petered out.
INSIGHTS	90+5'	England have mustered just six shots in this game - their joint-lowest total in a World Cup match since we have this data (1966), level with six v the Republic of Ireland in 1990.
COMMENTARY	90+3'	Shaw whips the free-kick in from the left. It reaches Kane, who sends a powerful header wide from the centre of the box! That's as close to scoring as England have gotten.
INSIGHTS	87'	No player has had more headed clearances in a 2022 World Cup match so far than England's Harry Maguire today (6 so far).
SUBSTITUTION	83'	IN	Josh Sargent	USA · Striker #24	OUT	Haji Wright	USA · Striker #19	Wright's game is over too. The Norwich City forward Sargent takes his place up front for the Americans.
SUBSTITUTION	83'	IN	Giovanni Reyna	USA · Midfielder #7	OUT	Timothy Weah	USA · Striker #21	Two more changes for the USA. The son of one famous player replaces another as Reyna comes on for Weah.
SUBSTITUTION	78'	IN	Marcus Rashford	England · Striker #11	OUT	Bukayo Saka	England · Midfielder #17	England respond by making another change of their own. Rashford replaces Saka.
SUBSTITUTION	78'	IN	Shaquell Moore	USA · Defender #18	OUT	Sergiño Dest	USA · Defender #2	Dest is the next USA player to make way, and he's not happy about it. Moore takes his place at right-back.
SUBSTITUTION	77'	IN	Brenden Aaronson	USA · Midfielder #11	OUT	Weston McKennie	USA · Midfielder #8	The Americans make some substitutions. McKennie's their first departure. Aaronson replaces him.
INSIGHTS	76'	England's Harry Kane has had just one touch in the USA box but three in the England box.
SUBSTITUTION	69'	IN	Jordan Henderson	England · Midfielder #8	OUT	Jude Bellingham	England · Midfielder #22	Bellingham leaves the pitch too. Henderson comes on to provide experience in midfield for England.
SUBSTITUTION	68'	IN	Jack Grealish	England · Midfielder #7	OUT	Raheem Sterling	England · Midfielder #10	England decide that changes are needed. The quiet Sterling heads off. Grealish replaces him.
INSIGHTS	Half-time	England haven't won any of their last five World Cup matches when the game has been scoreless at HT (D4 L1), with their last such victory coming against Ecuador in the 2006 tournament (1-0).
INSIGHTS	Half-time	USA haven't conceded a first-half goal in any of their last four World Cup matches, their longest such streak, while they have shipped just two goals before halftime in their last eight World Cup matches.
COMMENTARY	Half-time	An action-packed first half comes to an end. USA will be happier with how they played in the opening 45 minutes, looking lively and hitting the crossbar through Pulisic. England have been sluggish, but we know they can go up a gear or two. More to come!
COMMENTARY	45'	England create thier best chance of the game yet. Shaw reaches the byline and cuts back for Saka, who can't keep his hit from inside the six-yard box down.
INSIGHTS	39'	USA have hit the woodwork in both World Cup games so far (Sargent vs Wales and Christian Pulisic today), with Iran the only other side to do this so far.
INSIGHTS	33'	John Stones has made 43 passes in the game so far for England, more than any other player in the game, completing all 43. Indeed he has only misplaced one of his 160 so far in the competition.
COMMENTARY	32'	Pulisic hits the crossbar! McKennie escapes the attention of Rice and passes inside to Musah. He moves the ball on to the Chelsea winger, whose strike ricochets against the woodwork! England have been warned.
COMMENTARY	26'	McKennie spurns a great opportunity to open the scoring! The midfielder with multicoloured hair peels off his marker to reach a cross and lashes a half-volley over the crossbar.
COMMENTARY	9'	Chance for England! Bellingham slides Saka into the right of the box. The Arsenal winger centres the ball for Kane, whose shot is blocked. The Three Lions get their first corner of the game.
INSIGHTS	0'	England name an unchanged starting XI for the first time since doing so in the 2018 World Cup semi-final against Croatia. The last seven occasions England have named an unchanged starting line-up have come in major tournaments (2010 World Cup, Euro 2012, 2014 World Cup, Euro 2016, twice at 2018 World Cup, today’s game).
INSIGHTS	0'	Raheem Sterling today makes his 21st appearance for England at a major tournament (11 World Cup, 10 Euros), drawing level with Wayne Rooney and Steven Gerrard. Only Ashley Cole (22) has made more appearances for the Three Lions at the World Cup and Euros combined.
INSIGHTS	Pre Match	1	This is the third meeting between England and USA at the FIFA World Cup, with the United States winning 1-0 in 1950 before a 1-1 draw in 2010.	2	In all competitions, England have won eight of their 11 meetings with USA (D1 L2). Their last defeat against them came in June 1993 (0-2), winning four and drawing one of their meetings since then.	3	England won 3-0 the last time they faced USA, in a friendly match in November 2018. Trent Alexander-Arnold and Callum Wilson scored their only goals for the Three Lions in this game.	4	USA haven't kept a clean sheet in any of their last 18 World Cup matches against European nations (32 goals conceded), since a 1-0 victory over England in 1950.	5	Following their 6-2 victory over Iran on MD1, England are looking to win their opening two games at the World Cup for a fourth time, also doing so in 1982, 2006 and 2018. Their second game at the 2018 edition saw them win 6-1 against Panama.
COMMENTARY	Pre Match	There's just the one change to USA's starting line-up from their draw with Wales. Wright takes Sargent's place up front.
COMMENTARY	Pre Match	England name an unchanged starting 11 for the first time since doing so in the 2018 World Cup semi-final against Croatia. Sterling makes his 21st major tournament appearance for his country, drawing level with Wayne Rooney and Steven Gerrard. Only Ashley Cole (22) has made more appearances for the Three Lions at the World Cup and European Championship combined.
