INSIGHTS	Post Match	1	France are now unbeaten in each of their last eight first round group stage matches at the World Cup (W6 D2), their longest such run since a stretch of eight games between 1982 and 1998 (W6 D2 also).	2	Denmark have lost their first World Cup game since their final fixture at the 2010 tournament against Japan. Indeed, they conceded as many goals tonight (2) as they did in their previous five games in the competition (also 2).	3	France are now just the fifth reigning champions at the World Cup to win their opening two games at the tournament after Italy in 1938, Uruguay in 1954, Brazil in 1998 and Brazil in 2006.
COMMENTARY	Post Match	A brace from Mbappe earns all three points for France, who edge past Denmark 2-1 at Stadium 974. After a first half that had promise but lacked clinical finishing, the two sides shifted into life after the restart with both teams confident in their ability to win the match. Mbappe gave his nation the lead just after the hour, linking up with Hernandez during a counter-attack before beating Schmeichel with a close-range shot but Hjulmand’s team were not to be denied - equalising seven minutes later. Eriksen’s corner found its intended target, with Andersen’s flick-on supplying Christensen with the chance to beat Lloris. The result would be decided four minutes from time though, with the PSG forward latching onto Griezmann’s cross to turn the ball over the line. The win guarantees France’s passage to the knockouts, while Denmark must beat Australia on the final day.
SUBSTITUTION	90+3'	IN	Youssouf Fofana	France · Midfielder #13	OUT	Antoine Griezmann	France · Midfielder #7	Griezmann comes off to the applause of his coaches, with Fofana getting a chance to play.
SUBSTITUTION	90+2'	IN	Alexander Bah	Denmark · Defender #26	OUT	Rasmus Kristensen	Denmark · Midfielder #13	A late switch for Denmark sees Bah come on for Kristensen.
INSIGHTS	88'	Antoine Griezmann has created nine chances at the 2022 World Cup; the most by a French player after two games of a WC tournament since Zinedine Zidane in 1998 (9).
INSIGHTS	87'	Kylian Mbappe has scored 14 goals in his last 12 appearances in all competitions for France.
GOOOAAALLL!!!	86'	France	2	-	1	Denmark	Kylian Mbappé	France · Midfielder #10	Asst: A. Griezmann	MBAPPE DOUBLES HIS TALLY! 2-1! The movement of the PSG forward fools both defenders at the far post and allows him to meet Griezmann’s inswinging cross two yards from goal to bundle it over the line!
SUBSTITUTION	85'	IN	Christian Nørgaard	Denmark · Midfielder #15	OUT	Jesper Lindstrøm	Denmark · Midfielder #25	Norgaard comes on for Lindstrom with five minutes remaining.
COMMENTARY	80'	BRILLIANT EFFORT! Hernandez picks up the loose ball after Denmark’s clearance and hoists a cross to the far post for Rabiot, who meets it with an audacious scissor-kick. The Juventus midfielder catches the ball sweetly but sends it narrowly wide of the target!
SUBSTITUTION	75'	IN	Kingsley Coman	France · Striker #20	OUT	Ousmane Dembélé	France · Midfielder #11	Dembele's game comes to an end with a quarter-hour remaining as he's replaced by Coman.
SUBSTITUTION	75'	IN	Ibrahima Konaté	France · Defender #24	OUT	Raphaël Varane	France · Defender #4	A change at the back sees Varane come off for Konate.
