INSIGHTS	Post Match	1	France are the first nation to reach back-to-back World Cup finals since Brazil in 2002, and first European country to do so since Germany in 1990.	2	This defeat ended a six-game unbeaten run at the World Cup for Morocco (W3 D3), and was their first loss at the finals since a 1-0 defeat to Portugal in the group stage in 2018.	3	France have reached the World Cup final for a fourth time, all since 1998 (1998, 2006, 2018, 2022). This is twice as many as any other nation in this period.
COMMENTARY	Post Match	France advance to their second World Cup final in a row courtesy of a 2-0 win over Morocco in their semi-final clash. Theo Hernandez put Les Bleus in front in the fifth minute with a close-range finish after Kylian Mbappe's effort was blocked. France spurned opportunities to double their advantage, which gave Morocco hope as Jawad El Yamiq struck the post. However, Didier Deschamps' men remained strong at the back and duly notched their second to wrap up the contest through substitute Randal Kolo Muani, who scored his first international goal to send his team into the final.
INSIGHTS	90+6'	Randal Kolo Muani's goal was the second-quickest scored by a substitute in a World Cup knockout stage match (44 seconds), after Denmark's Ebbe Sande against Nigeria in 1998 (26 seconds).
COMMENTARY	90+4'	OFF THE LINE! Kounde prevents Hamdallah from scoring from close range with a great block on the line. Attiyat-Allah makes a great run down the left flank and sees his shot from the byline saved by Lloris. The loose ball travels out to Ounahi, who lashes a strike on the half-volley towards goal. Hernandez sticks out a boot to make a block, but Hamdallah latches onto it and steers a strike towards the net. Kounde is in the right place at the right time to deny the forward and Morocco.
COMMENTARY	90+4'	OVER! Ounahi takes possession on the edge of the France box and shoots with power, but his effort is deflected over the bar.
INSIGHTS	83'	Jawad El Yamiq has completed 77 passes in this match so far, the most ever by a Moroccan player in a World Cup match.
INSIGHTS	80'	Youssef En-Nesyri had three touches against France, the fewest on record (since 1966) by any player to play 60+ minutes in a World Cup match.
GOOOAAALLL!!!	79'	France	2	-	0	Morocco	Randal Kolo Muani	France · Striker #12	GOALLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLLL!!! KOLO MUANI CONVERTS AT THE BACK POST!!!!! 2-0 FRANCE!!!!!! Kolo Muani scores his first international goal with his first touch in the game to surely send France back to the World Cup final. Mbappe causes havoc in the final third as he twists and turns to fire towards goal. His effort is charged down, but the rebound falls kindly for Kolo Muani to steer the ball past Bounou from six yards. What a time to get your first goal!
SUBSTITUTION	79'	IN	Randal Kolo Muani	France · Striker #12	OUT	Ousmane Dembélé	France · Midfielder #11	Kolo Muani replaces Dembele, who was off the pace in the contest today.
SUBSTITUTION	78'	IN	Abde Ezzalzouli	Morocco · Striker #16	OUT	Selim Amallah	Morocco · Midfielder #15	Amallah, who only came on as a sub in the first half, is replaced by Ezzalzouli.
COMMENTARY	72'	WIDE! Thuram rises at the back post to attack Griezmann's free-kick from the left flank, but he can only glance his header wide of the right post.
COMMENTARY	69'	OFFSIDE! Mbappe is beyond the last man again after latching onto Griezmann's offload. His left-footed blast is charged down anyway.
SUBSTITUTION	67'	IN	Zakaria Aboukhlal	Morocco · Striker #14	OUT	Sofiane Boufal	Morocco · Midfielder #17	Aboukhlal comes on to replace Boufal, who had a fine game in the final third.
SUBSTITUTION	66'	IN	Abderrazak Hamdallah	Morocco · Striker #9	OUT	Youssef En-Nesyri	Morocco · Striker #19	En-Nesyri makes way from the final third and is replaced by Hamdallah.
SUBSTITUTION	65'	IN	Marcus Thuram	France · Striker #26	OUT	Olivier Giroud	France · Striker #9	Thuram enters the action to replace Giroud for Les Bleus, which sees Mbappe move into a central position.
INSIGHTS	62'	Hakim Ziyech has completed 16 passes to Achraf Hakimi in this match; the most by any Morocco player for a specific teammate.
SUBSTITUTION	46'	IN	Yahia Attiyat Allah	Morocco · Defender #25	OUT	Noussair Mazraoui	Morocco · Defender #3	Mazraoui is withdrawn at the break due to injury and is replaced by Attiat-Allah.
