INSIGHTS	Post Match	1	Japan picked up their first victory against Germany (D1 L1), with nine of the 10 total goals in this fixture being scored in the second half.	2	Germany have lost a World Cup game in which they led at half time for the first time since 1978 (2-3 vs Austria), having gone unbeaten in their previous 21 such matches before today.	3	Japan came from behind to win a World Cup match for the very first time, having drawn two and lost 11 of their 13 matches when they had trailed before today.
COMMENTARY	90+8'	BLOCKED!!! The free-kick is crossed in, but Yoshida's header takes it away from Neuer, and Sule's effort from the far post is deflected behind!
COMMENTARY	90+5'	WIDE!!!! Another Germany cross is headed away by Japan, and Goretzka meets the loose ball on the edge of the box before drilling a first-time shot inches wide of the post!
SUBSTITUTION	90'	IN	Youssoufa Moukoko	Germany · Striker #26	OUT	Serge Gnabry	Germany · Midfielder #10	Germany throw the dice as they take Gnabry off in their final change, and 18-year-old Youssoufa Moukoko comes on to become Germany's youngest-ever player at a World Cup.
INSIGHTS	88'	Aged 18 years and three days, Youssoufa Moukoko is the youngest German player ever to appear in a World Cup match.
INSIGHTS	76+9'	Four of Takuma Asano’s eight goals for Japan have been as a substitute.
GOOOAAALLL!!!	83'	Germany	1	-	2	Japan	Takuma Asano	Japan · Striker #18	Asst: K. Itakura	GOOOOOOAAAAALLLL!!!! Can you believe it???? Itakura's long ball from a free-kick in his own half is met by Asano, who beats Schlotterbeck with a beauty of a first touch. He darts into the box and smashes a shot from the tightest of angles, which beats Neuer and flies into the roof of the net!!! What a turnaround, what a story, and what a finish, to put Japan 2-1 up!!!
COMMENTARY	80'	OVER!!! Kimmich whips a corner into the box, and with Gonda in no-man's land, Rudiger gets in front of him to head the ball over the crossbar!
SUBSTITUTION	79'	IN	Niclas Füllkrug	Germany · Striker #9	OUT	Kai Havertz	Germany · Striker #7	Havertz is also brought off by Hansi Flick, with Niclas Fullkrug coming on to offer a new avenue up front for the last minutes here.
SUBSTITUTION	79'	IN	Mario Götze	Germany · Midfielder #11	OUT	Jamal Musiala	Germany · Midfielder #14	Musiala comes off in Germany's latest change, and their current wonderkid is replaced by one of their young starlets from 2014, as winning goalscorer from the final, Mario Gotze, comes on.
INSIGHTS	75'	Four of Japan's 21 World Cup goals have come from substitutes, with two of those sub goals coming in their last four strikes in the competition.
GOOOAAALLL!!!	75'	Germany	1	-	1	Japan	Ritsu Doan	Japan · Striker #8	GOOOOAAAALLLL!!!!! Japan have parity, and boy do they deserve it!!! Mitoma drives forward before feeding Minamino, whose ball across the face is parried away by Neuer. Doan reacts quickest to smash the ball into the back of the net, and the three Japan substitutes combine to put them back on level terms at 1-1!
SUBSTITUTION	74'	IN	Takumi Minamino	Japan · Midfielder #10	OUT	Hiroki Sakai	Japan · Defender #19	Japan are really going for it now, as starting right-back Sakai comes off for another attacking option in Takumi Minamino.
COMMENTARY	73'	SAVED!!! Endo's forward ball is brought down in the box by Ito, who smashes a low shot which Neuer claws out of the far corner! Sakai follows in, but can't direct his volley goalwards on the rebound, and a glorious chance for Japan goes begging!
