INSIGHTS	Post Match	1	Croatia have progressed from all three of their appearances in the round of 16 at the World Cup, winning on penalties in each of the last two (also Denmark in 2018).	2	Croatia have won all three of their World Cup penalty shootouts (also vs Denmark and Russia in 2018), while the team going second has won the last seven penalty shootouts at the World Cup.	3	Japan have been eliminated from all four of their round of 16 appearances at the World Cup (D2 L2), while they’ve lost both of their penalty shootouts in the competition (also vs Paraguay in 2010).
COMMENTARY	Post Match	Both teams started the game with a lot of energy but as the minutes ticked by, Croatia began to control the game and dictate the pace, which was very slow. Perisic had Croatia's best chance of the half but could not beat Gonda from close range following a mistake from Tomiyasu. Japan found some momentum at the end of the half and made it count after Maeda scored his first goal of the tournament. He reacted quickest to Yoshida's knockdown to give Japan the lead in the 43rd minute. The only highlight in the second half was Perisic's equaliser as if bullet header could not be stopped this time by Gonda. Extra time was quiet and saw a lack of chances other than a deflected effort from Mitoma. Livakovic became the hero in the penalty shootout as he saved three of the four Japan penalties, with only Asano scoring. Pasalic dispatched the winning penalty with Croatia winning the shootout 3-1.
INSIGHTS	Penalty Shootout	First taker has now seen their penalty saved in 4 of the last 6 WC shootouts
PENALTY SHOOTOUT	Croatia wins!!!	1	-	3	Japan Croatia	Maya Yoshida	Miss (1 - 2)	Mario Pašalić	Goal (1 - 3)	Takuma Asano	Goal (1 - 2)	Marko Livaja	Miss (1 - 2)	Kaoru Mitoma	Miss (0 - 1)	Marcelo Brozović	Goal (0 - 2)	Takumi Minamino	Miss (0 - 0)	Nikola Vlašić	Goal (0 - 1)	Japan first to kick
COMMENTARY	120+1'	CHANCE! Japan fail to clear their lines and Majer has a good chance on the edge of the box, but he drags his shot wide.
INSIGHTS	120'	The only previous WC shootout between an Asian and a European team saw Korea Republic eliminate Spain in 2002
INSIGHTS	120'	Croatia have won both of their World Cup shootouts, going second both times (both in 2018) - only two teams have won their first three WC shootouts (Argentina and Germany).
INSIGHTS	119'	The team going second has won the last 6 penalty shootouts at the World Cup
YELLOW CARD	116'	Borna Barišić	Croatia · Defender #3	Barisic receives a yellow card for a poor challenge.
COMMENTARY	105'	SAVE! Mitoma sprints to the edge of the box before shooting but Livakovic makes a good save to stop the powerful effort.
SUBSTITUTION	105'	IN	Ao Tanaka	Japan · Midfielder #17	OUT	Hidemasa Morita	Japan · Midfielder #13	Tanaka replaces Morita for the second period of extra time.
SUBSTITUTION	105'	IN	Marko Livaja	Croatia · Striker #14	OUT	Ante Budimir	Croatia · Striker #17	Budimir, who was subbed on earlier, makes way for Livaja in the Croatia attack.
SUBSTITUTION	105'	IN	Mislav Oršić	Croatia · Striker #18	OUT	Ivan Perišić	Croatia · Striker #4	Orsic replaces Perisic on the wing for Croatia.
SUBSTITUTION	99'	IN	Lovro Majer	Croatia · Midfielder #7	OUT	Luka Modrić	Croatia · Midfielder #10	Majer replaces Modric in midfield for Croatia as they look to add more energy to that part of the pitch.
SUBSTITUTION	99'	IN	Nikola Vlašić	Croatia · Midfielder #13	OUT	Mateo Kovačić	Croatia · Midfielder #8	Vlasic comes on for Kovacic for more of an attacking threat in the Croatia midfield.
COMMENTARY	96'	Tomiyasu and Pasalic are receiving protocol checks for a clash of heads. Both are fine and good to carry on.
INSIGHTS	90'	Croatia have the best 100% record in the World Cup in games that have at least gone to extra time, progressing from all three such ties, all of which came in 2018.
