INSIGHTS	Post Match	1	Croatia failed to score for the first time in 12 World Cup matches, since what was their only other goalless draw in the competition against Japan in 2006.	2	Morocco have failed to score in 53% of their World Cup matches (9/17), the joint-highest percentage of any nation to have played in more than 10 games in the competition.	3	Three of the last four games at the World Cup have finished 0-0, more goalless draws than there were in the previous 73 matches in the competition combined (2).
COMMENTARY	Post Match	It finishes goalless between Morocco and Croatia. There wasn't much to split the sides, with both of them having just two shots on target each in the game. Croatia had the better of the first-half chances, with Perisic and Modric firing over and Vlasic forcing a good save out of Bounou. After the break, Mazraoui saw a diving header pushed away before Livakovic denied Hakimi's powerful long-range strike.
INSIGHTS	90+8'	Josko Gvardiol is the first Croatian player to complete 90+ passes in a World Cup match. The previous most was 89 by Luka Modric vs Russia in 2018.
INSIGHTS	90+7'	Abdessamad Ezzalzouli is the second youngest player to ever appear in a World Cup for Morocco (20 years, 341 days) behind only Achraf Hakimi (19 years, 223 days).
SUBSTITUTION	90'	IN	Mislav Oršić	Croatia · Striker #18	OUT	Ivan Perišić	Croatia · Striker #4	Final roll of the dice for Croatia now as Orsic comes on to replace Perisic for stoppage-time.
SUBSTITUTION	82'	IN	Abdelhamid Sabiri	Morocco · Midfielder #11	OUT	Azzedine Ounahi	Morocco · Midfielder #8	And Ounahi is also making way, with Sabiri replacing him.
SUBSTITUTION	81'	IN	Abderrazak Hamdallah	Morocco · Striker #9	OUT	Youssef En-Nesyri	Morocco · Striker #19	Morocco are making their final changes now. En-Nesyri is the first to go off, with Hamdallah on for him.
SUBSTITUTION	79'	IN	Lovro Majer	Croatia · Midfielder #7	OUT	Mateo Kovačić	Croatia · Midfielder #8	Croatia's third change is an attacking one as Majer comes on in place of Kovacic.
YELLOW CARD	78'	Sofyan Amrabat	Morocco · Midfielder #4	Amrabat is very late as he gets across to Modric and clips the back of the Croatian's heels. He's shown the first yellow card of the game.
SUBSTITUTION	71'	IN	Marko Livaja	Croatia · Striker #14	OUT	Andrej Kramarić	Croatia · Striker #9	Second change for Croatia now as Livaja comes on to replace Kramaric.
INSIGHTS	66'	Selim Amallah has only completed five passes in this match, the fewest of any of the players to start the match.
SUBSTITUTION	65'	IN	Abde Ezzalzouli	Morocco · Striker #16	OUT	Sofiane Boufal	Morocco · Striker #17	Second change for Morocco now, and it's Boufal that goes off for Ezzalzouli.
COMMENTARY	64'	SAVE! Morocco have a free-kick through the middle, and though it's a long way out, Ziyech rolls it into Hakimi for a strike. He gets a lot of power on it and it swerves through the air, but Livakovic gets behind it to punch it away.
SUBSTITUTION	60'	IN	Yahia Attiyat Allah	Morocco · Defender #25	OUT	Noussair Mazraoui	Morocco · Defender #3	Mazraoui is carried straight down the tunnel on a stretcher, and Attiat-Allah comes on in his place.
COMMENTARY	59'	Mazraoui has just signalled to the bench and it looks like he won't be able to continue after his earlier back problem. The medical team are on again, and Attiat-Allah is getting ready on the sidelines.
