INSIGHTS	Post Match	1	Morocco became the first African team to qualify for the semi-final of a World Cup tournament. Indeed, each of the previous three African sides to reach a quarter-final were all eliminated at this stage: Cameroon in 1990, Senegal in 2002 and Ghana in 2010.	2	Portugal have been eliminated from a World Cup quarter-final match for the first time in their history, having previously progressed from their two other matches at this stage (5-3 v DPR Korea in 1966 and 3-1 in a penalty shootout v England in 2006).	3	Portugal’s Cristiano Ronaldo has failed to score in all eight of his knockout stage appearances at the World Cup (inc. third place play-off), going 570 minutes without scoring and taking 27 shots in the process.
COMMENTARY	Post Match	History is written, as Morocco become Africa's first World Cup semi-finalists by bravely beating Portugal in Al Thumama. Defending relentlessly and exhibiting great skill on the break, the Atlas Lions roar into the final four thanks to En-Nesyri's magnificent first-half header. Even with several injuries to contend with, they delight their hordes of noisy fans, and having eliminated Belgium, Spain and now Portugal, a high-stakes clash with England or France awaits.
INSIGHTS	90+8'	Portugal haven't had a shot on target since the 4th minute
INSIGHTS	90+8'	Morocco have won their last three World Cup matches when ahead at half time, including a 3-1 victory against Portugal in 1986.
COMMENTARY	90+6'	SAVE! Costa keeps Portugal in it! Attiyat-Allah releases Aboukhlal through the centre, with two Portugal defenders left in his wake, but the latter only prods an attempted chip straight into the chest of the goalkeeper!
RED CARD	90+3'	Walid Cheddira	Morocco · Striker #21	OFF! A clumsy challenge on Joao Felix sees Cheddira receive his second yellow card, and the substitute striker is sent off! Morocco are down to 10 men, with five minutes of stoppage time to go!
COMMENTARY	90+1'	SAVE! Bounou denies Ronaldo with a save low down in the centre of his goal, after the striker wraps his foot around a throughball to the brink of the box! It was no more than a half-chance, but Portugal need something - anything - to go in now!
YELLOW CARD	90+1'	Walid Cheddira	Morocco · Striker #21	For a rugged aerial challenge on Pepe, substitute Cheddira is booked by the referee.
YELLOW CARD	87'	Vitinha	Portugal · Midfielder #16	Vitinha catches Ounahi as the Morocco midfielder attempts a volleyed clearance from the edge of the box. The referee sees fit to issue a booking.
COMMENTARY	83'	SUPER STOP! Bounou flings himself up to the top-right of his goal to palm away a thunderous strike from Joao Felix, who receives the ball from Ronaldo's layoff on the edge of the box! What a save! Could that make all the difference in a few minutes time?
SUBSTITUTION	82'	IN	Yahya Jabrane	Morocco · Midfielder #26	OUT	Sofiane Boufal	Morocco · Striker #17	A tired Boufal is also withdrawn by Regragui, as Jabrane is introduced for the closing stages.
SUBSTITUTION	82'	IN	Zakaria Aboukhlal	Morocco · Striker #14	OUT	Hakim Ziyech	Morocco · Striker #7	Soon after going down injured and then making a brief recovery, Ziyech is replaced; Aboukhlal comes on in his place.
SUBSTITUTION	79'	IN	Ricardo Horta	Portugal · Striker #21	OUT	Diogo Dalot	Portugal · Defender #2	Santos rolls the dice again, as Dalot makes way for Horta.
YELLOW CARD	70'	Achraf Dari	Morocco · Defender #20	For lunging recklessly into a tackle on Leao on the right flank, substitute Dari is shown the game's first yellow card.
SUBSTITUTION	69'	IN	Vitinha	Portugal · Midfielder #16	OUT	Otávio	Portugal · Midfielder #25	A switch in midfield sees Vitinha replace Otavio for the final 20 minutes of the 90.
SUBSTITUTION	69'	IN	Rafael Leão	Portugal · Striker #15	OUT	Gonçalo Ramos	Portugal · Striker #26	By contrast with his incredible impact against Switzerland, Ramos has endured a frustrating shift today. He now makes way for powerful winger Leao up front.
SUBSTITUTION	65'	IN	Badr Benoun	Morocco · Defender #24	OUT	Youssef En-Nesyri	Morocco · Striker #19	Having scored a potentially history-making goal during the first half, En-Nesyri is now replaced by Benoun.
SUBSTITUTION	65'	IN	Walid Cheddira	Morocco · Striker #21	OUT	Selim Amallah	Morocco · Midfielder #15	Regragui makes his first tactical change, as Amallah makes way for the fresh legs of Cheddira.
COMMENTARY	64'	JUST OVER! Having been fed by Silva on the edge of the box, Fernandes lets fly with a powerful strike, which rises narrowly over the crossbar! So close, but what a chance missed in the context of this game!
COMMENTARY	58'	WIDE! Left in space near the penalty spot, Ramos heads Otavio's cross wide of the target! It was a presentable chance, of which he has been starved so far today.
