INSIGHTS	Post Match	1	Netherlands have now avoided defeat in each of their last 15 World Cup group games (W11 D4), only Germany between 1990 and 2010 and Brazil currently (both 16) have enjoyed longer such runs. Indeed, since reaching the final in 2010, they have played more games at the World Cup without suffering a defeat (9) than any other side.	2	Ecuador have now gone unbeaten in four consecutive World Cup games for the first time in their history (W2 D2), while it’s just the second time they have avoided defeat in their opening two games of a World Cup after 2006 - the only time they’ve reached the knockout stages.	3	Netherlands failed to win a World Cup match in which they opened the scoring for the first time since a 2-2 draw with Mexico in 1998, having gone two goals ahead on that occasion.
INSIGHTS	90+7'	Frenkie de Jong (9) has made more tackles than any other player at the 2022 World Cup, with seven of those coming in this game.
INSIGHTS	90+7'	Netherlands have only attempted two shots in this match - 10 fewer than their opponents Ecuador (12). They've also only recorded six touches in the opposition box, compared to 19 for Ecuador.
COMMENTARY	90+1'	CHANCE!!! Ecuador go close once more!! Noppert takes too long to clear the ball and his kick is charged down by Rodriguez, and the deflection nearly sends the ball into the unguarded net!
SUBSTITUTION	90'	IN	Romario Ibarra	Ecuador · Midfielder #10	OUT	Gonzalo Plata	Ecuador · Midfielder #19	Plata is also taken off, with the forward line changing once more with the introduction of Romario Ibarra.
SUBSTITUTION	90'	IN	Kevin Rodríguez	Ecuador · Midfielder #26	OUT	Enner Valencia	Ecuador · Midfielder #13	Valencia is taken off via stretcher, with Kevin Rodriguez sent on to replace the Ecuador talisman.
SUBSTITUTION	80'	IN	Wout Weghorst	Netherlands · Striker #19	OUT	Cody Gakpo	Netherlands · Striker #8	More changes coming for the Dutch, as the goalscorer Gakpo is replaced by Besiktas' on-loan Burnley forward Wout Weghorst.
SUBSTITUTION	79'	IN	Marten de Roon	Netherlands · Midfielder #15	OUT	Teun Koopmeiners	Netherlands · Midfielder #20	Koopmeiners also comes off, and is replaced in the middle of the park by his Atalanta teammate Marten de Roon.
SUBSTITUTION	74'	IN	Jeremy Sarmiento	Ecuador · Striker #16	OUT	Michael Estrada	Ecuador · Striker #11	Estrada comes off in Ecuador's first alteration, and another Brighton player, Jeremy Sarmiento, replaces him in the forward line.
COMMENTARY	73'	WIDE!!! Depay's flick puts Gakpo through on goal, and the goalscorer chips Galindez. The ball looks to be creeping into the net, but bounces wide of the far post as the flag goes up!
SUBSTITUTION	69'	IN	Steven Berghuis	Netherlands · Striker #11	OUT	Davy Klaassen	Netherlands · Midfielder #14	The Oranje make their second change, with Klaassen withdrawn for Steven Berghuis.
