INSIGHTS	Post Match	1	Despite their defeat in this game, Poland qualified from the group stage of a World Cup tournament for the first time since 1986. They had failed to do so in each of their previous three appearances at the tournament prior to this year (2002, 2006 and 2018).	2	Argentina have qualified from the group stage at the World Cup for the fifth consecutive tournament (2006, 2010, 2014, 2018 and 2022), while they have now progressed from the first round group stage for the 13th time in their last 14 World Cup appearances.	3	Poland have lost each of their last four World Cup matches against South American sides by an aggregate score of 0-11, with all four of those defeats coming against different teams (Brazil in 1986, Ecuador in 2006, Colombia in 2018 and Argentina in 2022).
COMMENTARY	Post Match	It's all over at Stadium 974, and Argentina are through to the last 16! The South Americans have thoroughly dismantled Poland to do it. Mac Allister and Alvarez got the goals, but they should have had more after Messi had a penalty saved in the first half. Poland will be mightily relieved they didn't.
COMMENTARY	90+2'	After a long spell of possession, Argentina get bored and decide to attack again. Poland manage to force them back, until Tagliafico is suddenly through on goal! The substitute tries to chip the onrushing Szczesny, who gets a hand to the ball but not enough of one, and it's somehow cleared off the line! Goodness!
COMMENTARY	86'	The torture's not over for Poland fans yet! Lautaro Martinez somehow drags the ball wide with only Szczesny to beat.
INSIGHTS	85'	At 35y & 159d old, Lionel Messi (7 shots & 5 chances created) is the oldest player to attempt 5+ shots and create 5+ chances in a World Cup game since 1966.
SUBSTITUTION	84'	IN	Thiago Almada	Argentina · Midfielder #16	OUT	Alexis Mac Allister	Argentina · Midfielder #20	Mac Allister, who opened the scoring for Argentina, goes off to applause. Almada replaces him.
SUBSTITUTION	83'	IN	Krzysztof Piątek	Poland · Striker #23	OUT	Grzegorz Krychowiak	Poland · Midfielder #10	Poland make a change. Krychowiak goes off. Piatek comes on.
SUBSTITUTION	79'	IN	Lautaro Martínez	Argentina · Striker #22	OUT	Julián Álvarez	Argentina · Striker #9	Argentina make more changes. Alvarez goes off having grabbed his goal. Lautaro Martinez takes his place up front.
SUBSTITUTION	79'	IN	Germán Pezzella	Argentina · Defender #6	OUT	Enzo Fernández	Argentina · Midfielder #24	Fernandez goes off too after a fine display. Pezzella, a centre-back, replaces him.
YELLOW CARD	78'	Grzegorz Krychowiak	Poland · Midfielder #10	Krychowiak is shown the yellow card for a tactical foul. Poland are still achieving very little in an attacking sense.
COMMENTARY	73'	There's another scare for Poland as Alvarez reaches a cross in the box to fire wide of the right-hand post. Argentina are enjoying themselves now.
