INSIGHTS	Post Match	1	Poland are unbeaten in their opening two games of a World Cup tournament for the first time since 1986 (also W1 D1). In the process, they have equalled their longest run of consecutive clean sheets at the World Cup, keeping three in a row for the first time since 1978. 	2	Saudi Arabia have lost each of their last nine World Cup matches against European teams dating back to 1994, while failing to score a single goal across the last eight.	3	Saudi Arabia have only kept one clean sheet in their 18 matches at the World Cup – indeed, among teams with at least 10 games played, they have the lowest clean sheet ratio in the tournament’s history (6%).
COMMENTARY	Post Match	Poland pick up three points to put themselves in pole position to progress to the Round of 16 ahead of the final game of the group phase. Saudi Arabia played well but goals from Zielinski and Lewandowski made the difference, ultimately, as did Al Dawsari's failure to convert his penalty. A competent performance from them.
SUBSTITUTION	90+5'	IN	Hattan Bahebri	Saudi Arabia · Striker #19	OUT	Nawaf Alabid	Saudi Arabia · Midfielder #18	Bahebri replaces Al Abed, who had to come off through injury.
COMMENTARY	90'	CHANCE! Lewandowski finds himself clean through on goal once again but, this time, Al Owais makes the save.
SUBSTITUTION	86'	IN	Nasser Aldawsari	Saudi Arabia · Midfielder #24	OUT	Saleh Alshehri	Saudi Arabia · Striker #11	Al Dawsari comes on for Al Shehri to inject fresh impetus into Saudi Arabia's attack.
SUBSTITUTION	85'	IN	Abdulrahman Alobud	Saudi Arabia · Midfielder #20	OUT	Abdulelah Almalki	Saudi Arabia · Midfielder #8	Alobud replacs Al Malki, the man who lost the ball for Lewandowski's goal.
INSIGHTS	82'	Robert Lewandowski is the first Poland player to both score and assist a goal in a World Cup match since Janusz Kupcewicz against France in 1982.
INSIGHTS	82'	Robert Lewandowski has scored his first World Cup goal, in his fifth game at the finals and from his 15th shot.
GOOOAAALLL!!!	82'	Poland	2	-	0	Saudi Arabia	Robert Lewandowski	Poland · Striker #9	GOAL! Lewandowski scores his first-ever World Cup goal to make it 2-0 to Poland. Al Malki is caught dwelling on the ball in a dangerous area and Lewandowski picks his pocket before finishing clinically.
COMMENTARY	78'	CHANCE! After a nice period of build-up play Al Maliki pulls the trigger from the edge of the box only for his left-footed effort to flash inches wide of the target.
INSIGHTS	73'	Wojciech Szczesny has made more saves than any other goalkeeper at the 2022 World Cup, while he's saved every shot on target he has faced so far (100% - 9/9).
SUBSTITUTION	71'	IN	Krzysztof Piątek	Poland · Striker #23	OUT	Arkadiusz Milik	Poland · Striker #7	Piatek replaces Milik to bring fresh legs to Poland's frontline.
COMMENTARY	66'	CHANCE! Lewandowski rattles the near post after connecting with a cross from the right side.
SUBSTITUTION	65'	IN	Sultan Al-Ghannam	Saudi Arabia · Defender #2	OUT	Mohammed Alburayk	Saudi Arabia · Defender #6
COMMENTARY	64'	CHANCE! Milik, with a fine diving header, rattles the crossbar after a lovely ball in from the left flank. Close call for Saudi Arabia, who have been dominant.
SUBSTITUTION	63'	IN	Jakub Kamiński	Poland · Midfielder #13	OUT	Piotr Zieliński	Poland · Midfielder #20
COMMENTARY	60'	CHANCE! Al Dawsari does superbly to control the ball in a tight space before playing in Al Birakan, whose shot flies just over the crossbar.
COMMENTARY	56'	CHANCE! Al Dawsari gets a shot off from close range after a rather chaotic scramble inside the box. But Szczesny makes an impressive save to deny him.
SUBSTITUTION	46'	IN	Nawaf Alabid	Saudi Arabia · Midfielder #18	OUT	Sami Al-Najei	Saudi Arabia · Midfielder #16
COMMENTARY	Half-time	It's been a thrilling first half. Poland are in the lead thanks to Zielinski's goal but, in truth, Saudi Arabia have been much the better side. Backed by a partisan crowd, they'll be disappointed to be trailing at the break, especially after Al Dawsari's penalty was saved by Szczesny. But there's still the whole second half to be played.
INSIGHTS	45+4'	There have been five yellow cards in this match, the most cards in the first half of a World Cup match since the 2010 final between Netherlands and Spain (also 5 yellows).
YELLOW CARD	45+4'	Abdulelah Al-Amri	Saudi Arabia · Defender #4	Al Amri is booked after making a poor challenge on Lewandowski.
INSIGHTS	45+1'	Poland goalkeepers have saved three of five World Cup penalties they have faced since 1966 (60%).
MISSED PENALTY	45+1'	Salem Aldawsari	Saudi Arabia · Midfielder #10
PENALTY	44'	Penalty to Saudi Arabia! After a VAR review, a penalty is awarded.
INSIGHTS	39'	Piotr Zielinski has been directly involved in 14 goals for club and country combined in 2022-23, with an exact split between goals (7) and assists (7).
GOOOAAALLL!!!	39'	Poland	1	-	0	Saudi Arabia	Piotr Zieliński	Poland · Midfielder #20	Asst: R. Lewandowski	GOAL! Zielinski makes it 1-0 to Poland. The ball falls to Lewandowski after a direct pass caught Saudi Arabia short and Zielinski finishes confidently after Lewandowski squares it to him.
INSIGHTS	30'	There have been more yellow cards (4) than shots (3) in this match so far.
COMMENTARY	26'	CHANCE! Zielinski whips in a corner from the right side to find Bielik inside the area, whose fine header is cleared off the line by Al-Shehri.
INSIGHTS	20'	Poland are the first side to receive as many as three yellow cards in the opening 20 minutes of a World Cup match since Italy against Mexico in 2002 (9 mins).
YELLOW CARD	20'	Abdulelah Almalki	Saudi Arabia · Midfielder #8	Al Malki is the first Saudi Arabia player to be issued a yellow card.
YELLOW CARD	19'	Arkadiusz Milik	Poland · Striker #7	Milik is booked after pulling back Al Amri to kill a nascent break.
YELLOW CARD	16'	Matty Cash	Poland · Defender #2	Cash is issued a yellow card for a late challenge on Al Dawsari.
YELLOW CARD	15'	Jakub Kiwior	Poland · Defender #14	Kiwior is booked after making a late challenge on Al-Shehri.
COMMENTARY	14'	CHANCE! Kanno drives forward, deep into Poland's half, before combining with a teammate and then drawing a fine save from Szczesny.
INSIGHTS	0'	Poland's starting XI in this game has an average age of 29 years and 124 days; their oldest for a World Cup match, with today being their 36th in the competition overall.
INSIGHTS	Pre Match	1	This is Poland’s first meeting with Saudi Arabia since March 2006 in a friendly, with Poland winning 2-1 thanks to a brace from Lukasz Sosin.	2	This is just Poland’s third FIFA World Cup game against an Asian nation, losing 2-0 to Korea Republic in 2002, and beating Japan 1-0 in 2018.	3	Saudi Arabia have lost nine of their 10 FIFA World Cup games against European nations, with the exception being a 1-0 win over Belgium in 1994. They’ve lost each of their last eight such games, while failing to score a single goal in any of the last seven.	4	Poland have kept a clean sheet in both of their last two World Cup games; only from 1974 to 1978 have they recorded three straight shutouts at the finals (run of three).	5	Saudi Arabia have won their last two World Cup games, beating Egypt in their final game of the 2018 tournament, and Argentina on MD1 this year. They'd only won two of their first 15 games in the competition (D2 L11), with those wins also coming consecutively in the 1994 group stage.
COMMENTARY	Pre Match	SAUDI ARABIA SUBS: Mohammed Alyami, Nawaf Al-Aqidi, Abdullah Madu, Hassan Al Tambakti, Sultan Alganham, Nasser Al Dawsari, Ali Al-Hassan, Abdullah Otayf, Nawar Shaker Al Abed, Abdulrahman Alobud, Hattan Bahebri, Haithm Mohammed Asiri.
COMMENTARY	Pre Match	SAUDI ARABIA (4-3-3): Mohammed Khalil Al Owais; Saud Abdullhamid, Abdulelah Al Amri, Ali Al Bulayhi, Mohammed Al-Breik; Sami Al-Najei, Abdulelah Al Malki, Mohamed Kanno; Firas Al Birakan, Saleh Al-Shehri, Salem Al Dawari.
COMMENTARY	Pre Match	POLAND SUBS: Lukasz Skorupski, Kamil Grabara, Artur Jedrezejczyk, Mateusz Wieteska, Jan Bedernak, Damian Szymanski, Kamil Grosicki, Jakub Kaminski, Karol Swiderski, Szymon Zurkowski, Sebastian Szymanski, Nicola Zalewski, Krzysztof Piatek, Robert Gunny, Michal Skoras.
COMMENTARY	Pre Match	POLAND (3-4-1-2): Wojciech Szczesny; Bartosz Bereszynski, Kamil Glik, Jakub Kiwior; Matty Cash, Krystian Bielik, Grzegorz Krychowiak, Przemyslaw Frankowski; Piotr Zielinski; Arkadiusz Milik, Robert Lewandowski.
