INSIGHTS	Post Match	1	Ghana scored three goals in a single World Cup game for the first time in their history, while they’ve scored in each of their last seven World Cup matches overall – only Nigeria (8 between 1994 and 1998) have scored in more consecutive games among African nations in the competition.	2	Ghana became the first team to record consecutive 3-2 results at the World Cup (for or against) since Uruguay in 2010 and the fourth side overall to do so (also Germany in 1994 and Switzerland in 1934).	3	Korea Republic have won just one of their last 11 matches at the World Cup (D3 L7) and conceded as many goals today as they did in their previous four games in the competition (3).
COMMENTARY	Post Match	South Korea started the game well and looked more likely to score before Salisu broke the deadlock for Ghana in the 24th minute. Jordan Ayew sent in a dangerous free-kick into the six-yard box and South Korea failed to clear their lines. Salisu was quickest to react to the loose ball and fired home. Kudus then doubled Ghana's lead with a glancing header, once again from a Jordan Ayew cross. South Korea mounted a comeback early in the second half. Cho scored two headers either side of the hour mark, but they were only level for seven minutes as Kudus secured his own brace with a great finish past Kim Seung-gyu. South Korea tried to get a third but to no avail, as Ghana take all three points with a 3-2 win.
INSIGHTS	90+11'	18 (currently) is the most shots Korea Republic have attempted in a world Cup match since 2002 (23 vs Turkey)
COMMENTARY	90+7'	CHANCE! Lee heads the ball into the six-yard box and Cho tries to get on the end of it, but Ati-Zigi once again makes the required save.
SUBSTITUTION	90+2'	IN	Kwon Kyung-won	South Korea · Defender #20	OUT	Kim Min-jae	South Korea · Defender #4	Kim Min-jae comes off for Kwon Kyung-won at centre-back for South Korea.
SUBSTITUTION	88'	IN	Baba Rahman	Ghana · Defender #17	OUT	Gideon Mensah	Ghana · Defender #14	Baba Rahman comes on for Mensah, who cannot carry on due to a leg injury.
COMMENTARY	87'	Mensah is down on the pitch and receiving treatment for cramp.
COMMENTARY	84'	CHANCE! Son fluffs his lines and completely misses the ball when shooting. It goes through to Kim Jin-su, who fires inches over the bar.
SUBSTITUTION	83'	IN	Alexander Djiku	Ghana · Defender #23	OUT	Mohammed Kudus	Ghana · Midfielder #20	Djiku comes on for Kudus as Ghana move to a back five.
SUBSTITUTION	79'	IN	Hwang Ui-jo	South Korea · Striker #16	OUT	Jung Woo-young	South Korea · Midfielder #5	Hwang Ui-Jo replaces Jung as South Korea bring on an extra attacker.
SUBSTITUTION	78'	IN	Denis Odoi	Ghana · Defender #3	OUT	Tariq Lamptey	Ghana · Defender #2	Odoi comes on for Lamptey at right-back for the Black Stars.
SUBSTITUTION	78'	IN	Kamaldeen Sulemana	Ghana · Midfielder #22	OUT	Jordan Ayew	Ghana · Midfielder #9	Jordan Ayew makes way for Sulemana as Ghana add more energy to their attack for a potential counter.
SUBSTITUTION	78'	IN	Daniel-Kofi Kyereh	Ghana · Midfielder #8	OUT	André Ayew	Ghana · Midfielder #10
YELLOW CARD	77'	Kim Young-gwon	South Korea · Defender #19	Kim Young-Gwon receives a booking for a tactical foul.
COMMENTARY	76'	OFF THE LINE! Kim Jin-su is completely open at the back post and strikes the ball toward the goal, but Salisu clears the ball off the line!
COMMENTARY	75'	SAVE! Lee does well to get the free-kick over the wall and on target, but Ati-Zigi tips the ball around the post!
YELLOW CARD	73'	Tariq Lamptey	Ghana · Defender #2	Lamptey receives a yellow card following a very poor challenge on Son.
GOOOAAALLL!!!	68'	South Korea	2	-	3	Ghana	Mohammed Kudus	Ghana · Midfielder #20	Asst: I. Williams	GOALL!! 3-2 GHANA! KUDUS! Kudus puts Ghana back into the lead with a low finish into the far corner! Mensah sends a cross into the box, Williams mistimes his shot but deflects it into the path of Kudus, who makes no mistake.
COMMENTARY	67'	Jung is back onto the pitch following help from the physios.
COMMENTARY	64'	Jung is receiving treatment on the pitch for a head injury.
INSIGHTS	63'	Ghana have scored three times in a world Cup match for the first time.
INSIGHTS	62'	At 22 years 118 days old, Mohammed Kudus is the second youngest African player to score two goals in a World Cup match, after Ahmed Musa (21y 254d) for Nigeria against Argentina in 2014.
INSIGHTS	61'	Each of Korea Republic's last 10 goals at the World Cup have come in the second half
GOOOAAALLL!!!	61'	South Korea	2	-	2	Ghana	Cho Gue-sung	South Korea · Striker #9	Asst: J. Kim	GOALLL!! 2-2 SOUTH KOREA! CHO! Cho scores again to equalise for South Korea! Kim Jin-su sends in a deep cross and Cho leaps above Mensah to win the header, one that is too powerful for Ati-Zigi to keep out!
GOOOAAALLL!!!	58'	South Korea	1	-	2	Ghana	Cho Gue-sung	South Korea · Striker #9	Asst: K. Lee	GOALL! CHO!!! 2-1! Cho pulls a goal back for South Korea! Lee sends in a great cross and Cho attacks the pass with a diving header to score past Ati-Zigi. Game on!
SUBSTITUTION	57'	IN	Lee Kang-in	South Korea · Midfielder #18	OUT	Kwon Chang-hoon	South Korea · Midfielder #22	Lee replaces Kwon on the left side of the South Korea attack.
COMMENTARY	55'	CLOSE! Kim Moon-hwan almost turns the ball into his own net after trying to clear away Jordan Ayew's corner at the near post. The ball lands on the roof of the net.
INSIGHTS	53'	Korea Republic have managed their first shot on target at this World Cup, with their 14th attempt.
COMMENTARY	53'	SAVE! Ati-Zigi makes a diving save to stop Cho's header from 10 yards out. South Korea finally have their first shot on target in the tournament.
COMMENTARY	52'	Kim Jin-su is back on the pitch.
COMMENTARY	51'	Kim Jin-su is receiving treatment for a nose injury. South Korea are playing with 10 men for the time being.
INSIGHTS	50'	Cho Gue-Sung's two goals were scored within just 168 seconds of eachother, to complete Korea's comeback into the match.
INSIGHTS	46'	Korea Republic have scored two headed goals in a World Cup game for the first time, having scored just three headed goals in total in the competition in 35 games before today.
SUBSTITUTION	46'	IN	Na Sang-ho	South Korea · Striker #17	OUT	Jeong Woo-yeong	South Korea · Midfielder #25	Na replaces Jeong in the attack for South Korea.
INSIGHTS	Half-time	Korea Republic remain the only side yet to have a shot on target at world Cup 2022, attempting 13 shots in total so far.
INSIGHTS	Half-time	Ghana find themselves two goals ahead at half time in a world Cup match for the first time, while they're the first African side to do so since Algeria (also v Korea Republic) in 2014 (3-0).
COMMENTARY	Half-time	South Korea started the game well and looked more likely to score before Salisu broke the deadlock for Ghana in the 24th minute. Jordan Ayew sent in a dangerous free-kick into the six-yard box and South Korea failed to clear their lines. Salisu was quickest to react to the loose ball and fired home. Kudus then doubled Ghana's lead with a glancing header, once again from a Jordan Ayew cross, and the Black Stars controlled the game for the rest of the half.
COMMENTARY	45+5'	CLOSE! Jordan Ayew whips in another corner, this time Partey attacks it. Seung-gyu beats the midfielder to the ball and punches it onto his head and over the bar.
GOOOAAALLL!!!	34'	South Korea	0	-	2	Ghana	Mohammed Kudus	Ghana · Midfielder #20	Asst: J. Ayew	GOALL!! 2-0 GHANA! KUDUS! Kudus doubles Ghana’s lead with a great header! Jordan Ayew sends a cross to the far post and Kudus glances the ball past Seung-gyu.
INSIGHTS	30'	Ghana have scored in each of their last eight World Cup matches – no African team have scored in more consecutive games in the competition.
INSIGHTS	28'	Ghana have scored their first goal in the first half of a World Cup match since 2010 (Sulley Muntari v Uruguay), with their previous six goals in the competition coming in the second half.
