INSIGHTS	Post Match	1	Eight different sides have now drawn their opening game of the 2022 World Cup 0-0 (Denmark, Tunisia, Mexico, Poland, Morocco, Croatia, Uruguay, Korea Republic), which is already the most ever in a single edition of the tournament.	2	Uruguay have only lost their opening game of a World Cup tournament in three of their 14 appearances (W6 D5), while three of the last six have been goalless draws (1990, 2010 and 2022).	3	Korea Republic have kept consecutive clean sheets at the World Cup for the first time, having won 2-0 against Germany in their previous match in 2018. They are also unbeaten in consecutive games in the tournament for the first time since 2006 (2-1 v Togo and 1-1 v France).
COMMENTARY	Post Match	The first half was evenly contested with both sides having good spells throughout. South Korea started and ended the half well with their best chance coming in the 34th minute when Ui-Jo fired over the bar despite being uncontested inside the box. Godin almost scored against the run of play just before the break as his header from a corner crashed against the woodwork, Uruguay's best chance of the half. The second half was quiet for the most part, but it burst into life toward the end. Valverde hit the post with a long-range effort in the 90th minute before Son shot wide at the other end after a mistake from Rochet. Neither side could find a goal as the game finished 0-0.
INSIGHTS	90+8'	This is the first time that Uruguay have struck the woodwork on two occasions in a World Cup game since also doing so in 1990 versus Korea Republic.
INSIGHTS	90+8'	As it stands, this will be Uruguay's eighth 0-0 draw at the World Cup - only England (11) and Brazil (9) have had more.
COMMENTARY	90'	CHANCE! Son tries his luck from distance after a poor pass from Rochet, but his effort goes wide of the right post!
COMMENTARY	90'	POST! Valverde smashes the left post with a powerful effort from long range!
YELLOW CARD	88'	Cho Gue-sung	South Korea · Striker #9	Gue-Sung receives a yellow card for a clumsy challenge near the halfway line.
SUBSTITUTION	88'	IN	Guillermo Varela	Uruguay · Defender #13	OUT	Facundo Pellistri	Uruguay · Striker #8	Varela replaces Pellistri in attack for the final few minutes.
COMMENTARY	83'	The referee resumes play as Woo-Young is able to continue.
COMMENTARY	82'	Woo-Young is down and receiving treatment.
SUBSTITUTION	79'	IN	Matías Viña	Uruguay · Defender #17	OUT	Mathías Olivera	Uruguay · Defender #16
SUBSTITUTION	78'	IN	Nicolás de la Cruz	Uruguay · Midfielder #7	OUT	Matías Vecino	Uruguay · Midfielder #5	De la Cruz comes on for Vecino to add more of an attacking threat to the Uruguay midfield.
SUBSTITUTION	75'	IN	Lee Kang-in	South Korea · Midfielder #18	OUT	Na Sang-ho	South Korea · Midfielder #17	Kang-In comes on for Sang-Ho on the right side of the attacking midfield trio.
SUBSTITUTION	74'	IN	Son Jun-ho	South Korea · Midfielder #13	OUT	Lee Jae-sung	South Korea · Midfielder #10
SUBSTITUTION	74'	IN	Cho Gue-sung	South Korea · Striker #9	OUT	Hwang Ui-jo	South Korea · Striker #16	Gue-Sung comes on for Ui-Jo in the striker role for South Korea.
INSIGHTS	68'	Korea Republic have mustered just three shots in this game - which as it stands would be their lowest total shots in a World Cup game (since 1966). Before today, their lowest total in a World Cup game (since 1966) stood at five shots (vs Sweden in 2018 and France in 2006).
COMMENTARY	65'	Min-Jae is down and receiving treatment on the pitch.
SUBSTITUTION	64'	IN	Edinson Cavani	Uruguay · Striker #21	OUT	Luis Suárez	Uruguay · Striker #9	Cavani replaces Suarez to lead the Uruguay frontline.
INSIGHTS	59'	As of the 65th minute, Uruguay have gone 440 minutes without conceding a goal in the World Cup group stage, since a 75th strike from England in 2014.
YELLOW CARD	57'	Martín Cáceres	Uruguay · Defender #22	Caceres receives the first yellow card of the game after a late challenge on Son.
INSIGHTS	Half-time	Each of Korea Republic's last eight World Cup goals have come in the second half of games - the last three have been in the 90th minute.
COMMENTARY	Half-time	The first half was evenly contested with both sides having good spells throughout. South Korea started and ended the half well with their best chance coming in the 34th minute when Ui-Jo fired over the bar despite being uncontested inside the box. Godin almost scored against the run of play just before the break as his header from a corner crashed against the woodwork, Uruguay's best chance of the half.
COMMENTARY	44'	POST! Godin wins the header from Valverde's corner but his attempt crashes into the left post!
INSIGHTS	40'	Three of the last five instances of Uruguay hitting the woodwork at the World Cup have come against Korea Republic.
COMMENTARY	34'	HUGE MISS! Ui-Jo has a great chance to open the scoring inside the box but he fires well over the bar as he leans back while shooting.
INSIGHTS	11'	Hwang Ui-Jo is making his 50th appearance for Korea Republic today, with the forward scoring 16 goals in his 49 games before today.
INSIGHTS	0'	Korea Republic have yet to have a shot on target in this match. In their last seven World Cup matches, they’d failed to land a shot on target in the first half on four occasions, including versus Uruguay in 2010.
INSIGHTS	Pre Match	1	This is the third FIFA World Cup match between Uruguay and Korea Republic. So far, Uruguay have won both previous encounters: 1-0 in the 1990 group stages and 2-1 in the round of 16 of the 2010 edition, the latter courtesy of a Luis Suarez brace of goals.	2	This is Uruguay’s 14th FIFA World Cup participation, and their fourth in a row since 2010. It will be only the second time that they have participated in four consecutive Would Cups (1962, 1966, 1970, 1974).	3	Uruguay have won six of their last eight FIFA World Cup games (L2). They won four matches at the 2018 edition in Russia (Egypt, Saudi Arabia, Russia, Portugal), tying the most wins they have ever had in a single World Cup, after 1930 (Peru, Romania, Yugoslavia, Argentina). 	4	Uruguay have won their opening match at just one of their last seven World Cup participations (D3 L3), though it did come last time out in 2018 against Egypt. Nonetheless, they have still progressed from the group stage in five of those seven editions.	5	This will be Korea Republic’s 11th FIFA World Cup tournament, the most of any Asian nation. Meanwhile, 2022 will be their 10th consecutive appearance at the finals, a run stretching back to 1986; only Brazil, Germany, Argentina and Spain are on longer current runs.
COMMENTARY	Pre Match	Alonso makes four changes from Uruguay’s most recent fixture as Godin, Gimenez, Vecino, and Pellistri all start. Bento makes nine changes from South Korea’s win over Iceland a fortnight ago as only Seung-Gyu and Woo-Young keep their places in the starting 11.
